,monitor_id,label,location,latitude,longitude,code,serial_number,last_calibrated,monitor_type_id,latest_reading_id,monitor_type,latest_reading,latest_averages,num_readings,current_rating,air_reading_id,project_id,recorded_at,pm10,pm2_5,no2,o3,so2,co,date,time,secs_since,time_since,status
10,2502,Station 82,"Mallow, Co. Cork",52.1340485,-8.640705,EPA-82,EPA-82,0000-00-00,25,333531021,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 333531021, 'monitor_id': 2502, 'project_id': 2399, 'recorded_at': '2022-03-24 09:45:00', 'pm10': 14.3184, 'pm2_5': 9.4993, 'no2': 9.1375, 'o3': 82.8304, 'so2': None, 'co': None, 'date': '24-03-2022', 'time': '09:45', 'secs_since': 1759, 'time_since': '29 mins', 'status': 'green'}","{'pm10': {'start': '2022-03-23 09:01:00', 'end': '2022-03-24 09:00:00', 'value': 23.7, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}, 'pm2_5': {'start': '2022-03-23 09:01:00', 'end': '2022-03-24 09:00:00', 'value': 16.04, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}, 'o3': {'start': '2022-03-24 01:01:00', 'end': '2022-03-24 09:00:00', 'value': 74.83, 'num_readings': 32, 'percentage_capture': 100, 'rating': 3}, 'no2': {'start': '2022-03-24 08:01:00', 'end': '2022-03-24 09:00:00', 'value': 7.28, 'num_readings': 4, 'percentage_capture': 100, 'rating': 1}}",42008,3,333531021,2399,24/03/2022 09:45,14.3184,9.4993,9.1375,82.8304,,,24/03/2022,09:45,1759,29 mins,green
11,1998,Station 56,"South Link Road, Cork",51.878524,-8.465053,EPA-56,EPA-56,0000-00-00,25,333519203,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 333519203, 'monitor_id': 1998, 'project_id': 2399, 'recorded_at': '2022-03-24 09:00:00', 'pm10': 32, 'pm2_5': None, 'no2': 57.6598, 'o3': 19.4714, 'so2': 1.295, 'co': 0.5821000000000001, 'date': '24-03-2022', 'time': '09:00', 'secs_since': 4459, 'time_since': '1 hour', 'status': 'green'}","{'pm10': {'start': '2022-03-23 09:01:00', 'end': '2022-03-24 09:00:00', 'value': 28, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}, 'o3': {'start': '2022-03-24 01:01:00', 'end': '2022-03-24 09:00:00', 'value': 33.39, 'num_readings': 32, 'percentage_capture': 100, 'rating': 1}, 'no2': {'start': '2022-03-24 08:01:00', 'end': '2022-03-24 09:00:00', 'value': 56.62, 'num_readings': 4, 'percentage_capture': 100, 'rating': 1}, 'so2': {'start': '2022-03-24 08:01:00', 'end': '2022-03-24 09:00:00', 'value': 1.69, 'num_readings': 4, 'percentage_capture': 100, 'rating': 1}, 'co': {'start': '2022-03-24 08:01:00', 'end': '2022-03-24 09:00:00', 'value': 0.62, 'num_readings': 4, 'percentage_capture': 100, 'rating': None}}",65655,2,333519203,2399,24/03/2022 09:00,32,,57.6598,19.4714,1.295,0.5821,24/03/2022,09:00,4459,1 hour,green
12,1969,Station 21 (Ozone Instrument Issue),University College Cork,51.900018,-8.486343,EPA-21,EPA-21,0000-00-00,25,333530975,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 333530975, 'monitor_id': 1969, 'project_id': 2399, 'recorded_at': '2022-03-24 08:45:00', 'pm10': None, 'pm2_5': None, 'no2': 11.0755, 'o3': None, 'so2': None, 'co': None, 'date': '24-03-2022', 'time': '08:45', 'secs_since': 5359, 'time_since': '1 hour', 'status': 'green'}","{'no2': {'start': '2022-03-24 07:01:00', 'end': '2022-03-24 08:00:00', 'value': 14.12, 'num_readings': 4, 'percentage_capture': 100, 'rating': 1}}",66542,1,333530975,2399,24/03/2022 08:45,,,11.0755,,,,24/03/2022,08:45,5359,1 hour,green
13,2088,TNO3955,"Buncranna, Co. Donegal",55.137443,-7.456503,TNO3955,TNO3955,0000-00-00,19,333532557,"{'monitor_type_id': 19, 'name': 'Osiris', 'manufacturer': 'Turnkey', 'category': 'air', 'sample_code': 'TNO1234', 'sample_serial_number': 'TNO1234'}","{'air_reading_id': 333532557, 'monitor_id': 2088, 'project_id': 2497, 'recorded_at': '2022-03-24 10:00:00', 'pm10': 9.7, 'pm2_5': 7.52, 'no2': None, 'o3': None, 'so2': None, 'co': None, 'date': '24-03-2022', 'time': '10:00', 'secs_since': 859, 'time_since': '14 mins', 'status': 'green'}","{'pm10': {'start': '2022-03-23 10:01:00', 'end': '2022-03-24 10:00:00', 'value': 12.25, 'num_readings': 95, 'percentage_capture': 98, 'rating': 1}, 'pm2_5': {'start': '2022-03-23 10:01:00', 'end': '2022-03-24 10:00:00', 'value': 7.6, 'num_readings': 95, 'percentage_capture': 98, 'rating': 1}}",74407,1,333532557,2497,24/03/2022 10:00,9.7,7.52,,,,,24/03/2022,10:00,859,14 mins,green
14,2006,Station 64,"Letterkenny, Co. Donegal",54.954644,-7.734842,EPA-64,EPA-64,0000-00-00,25,333526943,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 333526943, 'monitor_id': 2006, 'project_id': 2399, 'recorded_at': '2022-03-24 09:30:00', 'pm10': 25.3548, 'pm2_5': 13.4708, 'no2': None, 'o3': None, 'so2': 8.0537, 'co': None, 'date': '24-03-2022', 'time': '09:30', 'secs_since': 2659, 'time_since': '44 mins', 'status': 'green'}","{'pm10': {'start': '2022-03-23 09:01:00', 'end': '2022-03-24 09:00:00', 'value': 27.75, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}, 'pm2_5': {'start': '2022-03-23 09:01:00', 'end': '2022-03-24 09:00:00', 'value': 21.59, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}, 'so2': {'start': '2022-03-24 08:01:00', 'end': '2022-03-24 09:00:00', 'value': 8.71, 'num_readings': 4, 'percentage_capture': 100, 'rating': 1}}",66681,2,333526943,2399,24/03/2022 09:30,25.3548,13.4708,,,8.0537,,24/03/2022,09:30,2659,44 mins,green
15,1975,Station 27 (Protracted Communication Issue),"Malin Head, Co. Donegal",55.372036,-7.339224,EPA-27,EPA-27,0000-00-00,25,268346044,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 268346044, 'monitor_id': 1975, 'project_id': 2399, 'recorded_at': '2021-09-29 18:00:00', 'pm10': None, 'pm2_5': None, 'no2': None, 'o3': 48.7749, 'so2': None, 'co': None, 'date': '29-09-2021', 'time': '18:00', 'secs_since': 15182059, 'time_since': '6 months', 'status': 'red'}","{'o3': {'start': '2021-09-29 10:01:00', 'end': '2021-09-29 18:00:00', 'value': 66.09, 'num_readings': 5, 'percentage_capture': 62}}",14819,0,268346044,2399,29/09/2021 18:00,,,,48.7749,,,29/09/2021,18:00,15182059,6 months,red
16,2132,TNO2579,"Amiens Street, Dublin 1",53.352988,-6.248738,TNO2579-EPA,TNO2579-EPA,0000-00-00,19,333441688,"{'monitor_type_id': 19, 'name': 'Osiris', 'manufacturer': 'Turnkey', 'category': 'air', 'sample_code': 'TNO1234', 'sample_serial_number': 'TNO1234'}","{'air_reading_id': 333441688, 'monitor_id': 2132, 'project_id': 2497, 'recorded_at': '2022-03-24 04:00:00', 'pm10': 16.2, 'pm2_5': 8.94, 'no2': None, 'o3': None, 'so2': None, 'co': None, 'date': '24-03-2022', 'time': '04:00', 'secs_since': 22459, 'time_since': '6 hours', 'status': 'yellow'}","{'pm10': {'start': '2022-03-23 04:01:00', 'end': '2022-03-24 04:00:00', 'value': 20.37, 'num_readings': 1440, 'percentage_capture': 1500, 'rating': 2}, 'pm2_5': {'start': '2022-03-23 04:01:00', 'end': '2022-03-24 04:00:00', 'value': 11.33, 'num_readings': 1440, 'percentage_capture': 1500, 'rating': 1}}",78109,2,333441688,2497,24/03/2022 04:00,16.2,8.94,,,,,24/03/2022,04:00,22459,6 hours,yellow
17,1992,Station 50,"Ballyfermot, Dublin 10",53.340159,-6.351706,EPA-50,EPA-50,0000-00-00,25,333237445,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 333237445, 'monitor_id': 1992, 'project_id': 2399, 'recorded_at': '2022-03-23 13:30:00', 'pm10': 21.0976, 'pm2_5': 12.5628, 'no2': None, 'o3': None, 'so2': None, 'co': None, 'date': '23-03-2022', 'time': '13:30', 'secs_since': 74659, 'time_since': '20 hours', 'status': 'orange'}","{'pm10': {'start': '2022-03-22 13:01:00', 'end': '2022-03-23 13:00:00', 'value': 25.74, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}, 'pm2_5': {'start': '2022-03-22 13:01:00', 'end': '2022-03-23 13:00:00', 'value': 17.75, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}}",66542,0,333237445,2399,23/03/2022 13:30,21.0976,12.5628,,,,,23/03/2022,13:30,74659,20 hours,orange
18,2130,TNT1296,"Ballymun Library, Dublin 9",53.390433,-6.26527,TNT1296-EPA,TNT1296-EPA,0000-00-00,27,333534575,"{'monitor_type_id': 27, 'name': 'Topas', 'manufacturer': 'Turnkey', 'category': 'air', 'sample_code': 'TNT1234', 'sample_serial_number': 'TNT1234'}","{'air_reading_id': 333534575, 'monitor_id': 2130, 'project_id': 2497, 'recorded_at': '2022-03-24 10:00:00', 'pm10': 13, 'pm2_5': 6.62, 'no2': None, 'o3': None, 'so2': None, 'co': None, 'date': '24-03-2022', 'time': '10:00', 'secs_since': 859, 'time_since': '14 mins', 'status': 'green'}","{'pm10': {'start': '2022-03-23 10:01:00', 'end': '2022-03-24 10:00:00', 'value': 11.81, 'num_readings': 95, 'percentage_capture': 98, 'rating': 1}, 'pm2_5': {'start': '2022-03-23 10:01:00', 'end': '2022-03-24 10:00:00', 'value': 8.34, 'num_readings': 95, 'percentage_capture': 98, 'rating': 1}}",255505,1,333534575,2497,24/03/2022 10:00,13,6.62,,,,,24/03/2022,10:00,859,14 mins,green
19,1977,Station 29,"Blanchardstown, Dublin 15",53.38539,-6.369211,EPA-29,EPA-29,0000-00-00,25,333519151,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 333519151, 'monitor_id': 1977, 'project_id': 2399, 'recorded_at': '2022-03-24 09:00:00', 'pm10': 51.3766, 'pm2_5': 21.1061, 'no2': 15.7909, 'o3': None, 'so2': None, 'co': None, 'date': '24-03-2022', 'time': '09:00', 'secs_since': 4459, 'time_since': '1 hour', 'status': 'green'}","{'pm10': {'start': '2022-03-23 09:01:00', 'end': '2022-03-24 09:00:00', 'value': 51.23, 'num_readings': 96, 'percentage_capture': 100, 'rating': 4}, 'pm2_5': {'start': '2022-03-23 09:01:00', 'end': '2022-03-24 09:00:00', 'value': 22.4, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}, 'no2': {'start': '2022-03-24 08:01:00', 'end': '2022-03-24 09:00:00', 'value': 15.39, 'num_readings': 4, 'percentage_capture': 100, 'rating': 1}}",66574,4,333519151,2399,24/03/2022 09:00,51.3766,21.1061,15.7909,,,,24/03/2022,09:00,4459,1 hour,green
