,region,period_begin,period_end,period_duration,median_sale_price,homes_sold
2827857,"Atlanta, GA",2019-01-01,2019-01-31,30,286000.0,428.0
2828298,"Chicago, IL",2021-10-01,2021-10-31,30,290000.0,969.0
2828363,"Atlanta, GA",2021-10-01,2021-10-31,30,495700.0,690.0
2834313,"Los Angeles, CA",2020-12-01,2020-12-31,30,960000.0,1808.0
2834615,"San Francisco, CA",2021-12-01,2021-12-31,30,1700000.0,190.0
2846241,"Raleigh, NC",2019-04-01,2019-04-30,30,320000.0,558.0
2848772,"Los Angeles, CA",2018-12-01,2018-12-31,30,745000.0,1232.0
2855731,"Atlanta, GA",2020-11-01,2020-11-30,30,447000.0,684.0
2856935,"Austin, TX",2020-07-01,2020-07-31,30,462000.0,1433.0
2871149,"Chicago, IL",2020-04-01,2020-04-30,30,289000.0,711.0
2875781,"Atlanta, GA",2018-03-01,2018-03-31,30,326000.0,777.0
2881686,"San Francisco, CA",2018-06-01,2018-06-30,30,1625000.0,223.0
2882203,"Boston, MA",2021-07-01,2021-07-31,30,827000.0,140.0
2889716,"Austin, TX",2018-12-01,2018-12-31,30,385000.0,871.0
2890445,"San Francisco, CA",2021-11-01,2021-11-30,30,1850000.0,274.0
2891154,"Raleigh, NC",2021-04-01,2021-04-30,30,410000.0,525.0
2897701,"San Francisco, CA",2019-10-01,2019-10-31,30,1618000.0,246.0
2915818,"Denver, CO",2019-07-01,2019-07-31,30,491250.0,948.0
2920620,"Raleigh, NC",2021-07-01,2021-07-31,30,425000.0,532.0
2923396,"Boston, MA",2020-06-01,2020-06-30,30,718500.0,70.0
2926109,"Austin, TX",2020-11-01,2020-11-30,30,476875.0,1076.0
2944312,"Raleigh, NC",2020-03-01,2020-03-31,30,340000.0,503.0
2953663,"Raleigh, NC",2019-03-01,2019-03-31,30,319495.0,506.0
2953731,"Denver, CO",2021-03-01,2021-03-31,30,605000.0,766.0
2969988,"Boston, MA",2020-07-01,2020-07-31,30,715000.0,103.0
2975859,"Atlanta, GA",2019-03-01,2019-03-31,30,360000.0,750.0
2978503,"Atlanta, GA",2020-10-01,2020-10-31,30,427500.0,791.0
2981888,"Chicago, IL",2021-09-01,2021-09-30,30,300000.0,971.0
2992659,"New York, NY",2019-09-01,2019-09-30,30,611000.0,698.0
3001439,"San Francisco, CA",2021-03-01,2021-03-31,30,1717500.0,248.0
3022555,"Atlanta, GA",2020-04-01,2020-04-30,30,425000.0,538.0
3022748,"Denver, CO",2019-04-01,2019-04-30,30,495750.0,892.0
3029828,"Boston, MA",2021-05-01,2021-05-31,30,827500.0,98.0
3033283,"Austin, TX",2019-09-01,2019-09-30,30,410000.0,993.0
3037995,"Raleigh, NC",2021-06-01,2021-06-30,30,450000.0,647.0
3045372,"Chicago, IL",2021-12-01,2021-12-31,30,300000.0,980.0
3046205,"Seattle, WA",2021-01-01,2021-01-31,30,850000.0,382.0
3058479,"Boston, MA",2018-12-01,2018-12-31,30,562150.0,71.0
3062051,"Chicago, IL",2020-02-01,2020-02-29,30,242000.0,586.0
3063351,"Boston, MA",2018-11-01,2018-11-30,30,630000.0,117.0
3064170,"Chicago, IL",2018-08-01,2018-08-31,30,250000.0,1064.0
3068450,"Atlanta, GA",2021-02-01,2021-02-28,30,420000.0,601.0
3081137,"Raleigh, NC",2020-01-01,2020-01-31,30,350000.0,329.0
3094088,"New York, NY",2019-05-01,2019-05-31,30,598475.0,658.0
3096522,"Boston, MA",2020-05-01,2020-05-31,30,677500.0,55.0
3106841,"Raleigh, NC",2018-04-01,2018-04-30,30,316000.0,533.0
3108962,"Raleigh, NC",2019-06-01,2019-06-30,30,322000.0,600.0
3115930,"Atlanta, GA",2021-12-01,2021-12-31,30,475000.0,641.0
3121425,"Raleigh, NC",2019-05-01,2019-05-31,30,327500.0,604.0
3128475,"Los Angeles, CA",2020-10-01,2020-10-31,30,985000.0,1781.0
3134048,"Austin, TX",2018-10-01,2018-10-31,30,385000.0,930.0
3136069,"San Francisco, CA",2019-02-01,2019-02-28,30,1500000.0,119.0
3143479,"Austin, TX",2019-02-01,2019-02-28,30,364069.0,782.0
3148908,"Denver, CO",2020-03-01,2020-03-31,30,508250.0,674.0
3151860,"Seattle, WA",2020-06-01,2020-06-30,30,850000.0,607.0
3164151,"New York, NY",2018-10-01,2018-10-31,30,588000.0,733.0
3171853,"Atlanta, GA",2021-09-01,2021-09-30,30,440000.0,716.0
3172439,"Boston, MA",2021-03-01,2021-03-31,30,758000.0,65.0
3172660,"New York, NY",2019-03-01,2019-03-31,30,572500.0,563.0
3178505,"Austin, TX",2021-03-01,2021-03-31,30,575000.0,921.0
3187647,"Atlanta, GA",2019-04-01,2019-04-30,30,380000.0,817.0
3195095,"Atlanta, GA",2019-05-01,2019-05-31,30,379000.0,916.0
3199260,"Chicago, IL",2019-12-01,2019-12-31,30,235000.0,778.0
3200196,"Los Angeles, CA",2019-11-01,2019-11-30,30,840000.0,1337.0
3209514,"Raleigh, NC",2018-10-01,2018-10-31,30,318000.0,463.0
3211372,"Denver, CO",2018-09-01,2018-09-30,30,450000.0,680.0
3215136,"Chicago, IL",2021-08-01,2021-08-31,30,320000.0,1019.0
3217039,"Austin, TX",2021-11-01,2021-11-30,30,597500.0,975.0
3238743,"Denver, CO",2021-05-01,2021-05-31,30,647500.0,775.0
3271985,"Boston, MA",2021-10-01,2021-10-31,30,699900.0,79.0
3280049,"New York, NY",2021-06-01,2021-06-30,30,673500.0,902.0
3288471,"Boston, MA",2019-08-01,2019-08-31,30,644500.0,102.0
3295014,"Los Angeles, CA",2020-08-01,2020-08-31,30,965000.0,1516.0
3298116,"Boston, MA",2021-11-01,2021-11-30,30,796000.0,88.0
3308409,"San Francisco, CA",2021-05-01,2021-05-31,30,1842500.0,242.0
3309137,"New York, NY",2021-11-01,2021-11-30,30,690000.0,849.0
3313207,"Chicago, IL",2020-06-01,2020-06-30,30,286000.0,735.0
3319713,"Los Angeles, CA",2018-03-01,2018-03-31,30,760000.0,1518.0
3327819,"Los Angeles, CA",2021-02-01,2021-02-28,30,980000.0,1313.0
3328839,"Los Angeles, CA",2019-01-01,2019-01-31,30,740000.0,939.0
3335071,"San Francisco, CA",2018-01-01,2018-01-31,30,1330000.0,91.0
3335473,"Denver, CO",2021-09-01,2021-09-30,30,589700.0,706.0
3343542,"Chicago, IL",2021-04-01,2021-04-30,30,339000.0,917.0
3346857,"Atlanta, GA",2018-10-01,2018-10-31,30,325000.0,636.0
3351443,"Austin, TX",2019-12-01,2019-12-31,30,410000.0,1007.0
3355928,"Denver, CO",2018-11-01,2018-11-30,30,455000.0,649.0
3359118,"Raleigh, NC",2020-10-01,2020-10-31,30,371250.0,580.0
3359972,"Boston, MA",2020-09-01,2020-09-30,30,703500.0,107.0
3363226,"Raleigh, NC",2020-08-01,2020-08-31,30,385000.0,567.0
3363333,"Boston, MA",2021-09-01,2021-09-30,30,725000.0,98.0
3368129,"San Francisco, CA",2020-05-01,2020-05-31,30,1612000.0,103.0
3387926,"Raleigh, NC",2018-12-01,2018-12-31,30,327500.0,444.0
3422091,"Austin, TX",2020-05-01,2020-05-31,30,435000.0,833.0
3434665,"San Francisco, CA",2019-05-01,2019-05-31,30,1645000.0,239.0
3446495,"New York, NY",2019-02-01,2019-02-28,30,579000.0,493.0
3454701,"New York, NY",2018-09-01,2018-09-30,30,585000.0,676.0
3465644,"Austin, TX",2018-04-01,2018-04-30,30,409000.0,1083.0
3466585,"Raleigh, NC",2019-08-01,2019-08-31,30,320000.0,575.0
3471678,"Denver, CO",2018-07-01,2018-07-31,30,466250.0,802.0
3480943,"Los Angeles, CA",2018-06-01,2018-06-30,30,795000.0,1715.0
3496127,"Chicago, IL",2019-01-01,2019-01-31,30,223000.0,625.0
3497110,"Los Angeles, CA",2019-09-01,2019-09-30,30,800000.0,1437.0
3497453,"Denver, CO",2019-10-01,2019-10-31,30,474500.0,830.0
3504473,"Atlanta, GA",2019-12-01,2019-12-31,30,357750.0,699.0
3526032,"Seattle, WA",2021-02-01,2021-02-28,30,866250.0,442.0
3528268,"Atlanta, GA",2020-07-01,2020-07-31,30,428500.0,875.0
3535971,"Austin, TX",2019-10-01,2019-10-31,30,413525.0,1011.0
3539160,"Raleigh, NC",2019-12-01,2019-12-31,30,312500.0,504.0
3540927,"Denver, CO",2019-02-01,2019-02-28,30,441000.0,606.0
3551085,"San Francisco, CA",2020-03-01,2020-03-31,30,1650000.0,157.0
3551099,"Chicago, IL",2020-01-01,2020-01-31,30,225000.0,656.0
3583752,"Boston, MA",2019-07-01,2019-07-31,30,670450.0,112.0
3587897,"Denver, CO",2021-10-01,2021-10-31,30,596500.0,792.0
3593675,"San Francisco, CA",2018-08-01,2018-08-31,30,1520000.0,196.0
3599697,"San Francisco, CA",2019-06-01,2019-06-30,30,1719500.0,190.0
3614709,"Boston, MA",2018-10-01,2018-10-31,30,610000.0,89.0
3627899,"Raleigh, NC",2018-02-01,2018-02-28,30,302500.0,330.0
3628818,"Austin, TX",2021-07-01,2021-07-31,30,642000.0,1205.0
3633690,"Seattle, WA",2019-05-01,2019-05-31,30,800000.0,671.0
3651121,"New York, NY",2020-11-01,2020-11-30,30,640000.0,796.0
