,monitor_id,label,location,latitude,longitude,code,serial_number,last_calibrated,monitor_type_id,latest_reading_id,monitor_type,latest_reading,latest_averages,num_readings,current_rating,air_reading_id,project_id,recorded_at,pm10,pm2_5,no2,o3,so2,co,date,time,secs_since,time_since,status
10,2502,Station 82,"Mallow, Co. Cork",52.1340485,-8.640705,EPA-82,EPA-82,0000-00-00,25,333372128.0,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 333372128, 'monitor_id': 2502, 'project_id': 2399, 'recorded_at': '2022-03-23 22:45:00', 'pm10': 27.2523, 'pm2_5': 22.1858, 'no2': 6.8914, 'o3': 70.018, 'so2': None, 'co': None, 'date': '23-03-2022', 'time': '22:45', 'secs_since': 4004, 'time_since': '1 hour', 'status': 'green'}","{'pm10': {'start': '2022-03-22 22:01:00', 'end': '2022-03-23 22:00:00', 'value': 26.51, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}, 'pm2_5': {'start': '2022-03-22 22:01:00', 'end': '2022-03-23 22:00:00', 'value': 16.23, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}, 'o3': {'start': '2022-03-23 14:01:00', 'end': '2022-03-23 22:00:00', 'value': 89.44, 'num_readings': 32, 'percentage_capture': 100, 'rating': 3}, 'no2': {'start': '2022-03-23 21:01:00', 'end': '2022-03-23 22:00:00', 'value': 16.83, 'num_readings': 4, 'percentage_capture': 100, 'rating': 1}}",41968,3,333372128.0,2399.0,2022-03-23 22:45:00,27.2523,22.1858,6.8914,70.018,,,23-03-2022,22:45,4004.0,1 hour,green
11,1998,Station 56,"South Link Road, Cork",51.878524,-8.465053,EPA-56,EPA-56,0000-00-00,25,333357670.0,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 333357670, 'monitor_id': 1998, 'project_id': 2399, 'recorded_at': '2022-03-23 22:00:00', 'pm10': 31, 'pm2_5': None, 'no2': 21.2649, 'o3': 37.0092, 'so2': 0.4878, 'co': 0.6959000000000001, 'date': '23-03-2022', 'time': '22:00', 'secs_since': 6704, 'time_since': '1 hour', 'status': 'green'}","{'pm10': {'start': '2022-03-22 22:01:00', 'end': '2022-03-23 22:00:00', 'value': 27.67, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}, 'o3': {'start': '2022-03-23 14:01:00', 'end': '2022-03-23 22:00:00', 'value': 62.68, 'num_readings': 32, 'percentage_capture': 100, 'rating': 2}, 'no2': {'start': '2022-03-23 21:01:00', 'end': '2022-03-23 22:00:00', 'value': 30.76, 'num_readings': 4, 'percentage_capture': 100, 'rating': 1}, 'so2': {'start': '2022-03-23 21:01:00', 'end': '2022-03-23 22:00:00', 'value': 0.33, 'num_readings': 4, 'percentage_capture': 100, 'rating': 1}, 'co': {'start': '2022-03-23 21:01:00', 'end': '2022-03-23 22:00:00', 'value': 0.68, 'num_readings': 4, 'percentage_capture': 100, 'rating': None}}",65611,2,333357670.0,2399.0,2022-03-23 22:00:00,31.0,,21.2649,37.0092,0.4878,0.6959000000000001,23-03-2022,22:00,6704.0,1 hour,green
12,1969,Station 21 (Ozone Instrument Issue),University College Cork,51.900018,-8.486343,EPA-21,EPA-21,0000-00-00,25,333371990.0,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 333371990, 'monitor_id': 1969, 'project_id': 2399, 'recorded_at': '2022-03-23 22:00:00', 'pm10': None, 'pm2_5': None, 'no2': 27.4486, 'o3': None, 'so2': None, 'co': None, 'date': '23-03-2022', 'time': '22:00', 'secs_since': 6704, 'time_since': '1 hour', 'status': 'green'}","{'pm2_5': {'start': '2022-03-22 22:01:00', 'end': '2022-03-23 22:00:00', 'value': 12.89, 'num_readings': 36, 'percentage_capture': 37, 'rating': 0}, 'no2': {'start': '2022-03-23 21:01:00', 'end': '2022-03-23 22:00:00', 'value': 21.18, 'num_readings': 4, 'percentage_capture': 100, 'rating': 1}}",66506,1,333371990.0,2399.0,2022-03-23 22:00:00,,,27.4486,,,,23-03-2022,22:00,6704.0,1 hour,green
13,2088,TNO3955,"Buncranna, Co. Donegal",55.137443,-7.456503,TNO3955,TNO3955,0000-00-00,19,333380417.0,"{'monitor_type_id': 19, 'name': 'Osiris', 'manufacturer': 'Turnkey', 'category': 'air', 'sample_code': 'TNO1234', 'sample_serial_number': 'TNO1234'}","{'air_reading_id': 333380417, 'monitor_id': 2088, 'project_id': 2497, 'recorded_at': '2022-03-23 23:45:00', 'pm10': 10.6, 'pm2_5': 7.63, 'no2': None, 'o3': None, 'so2': None, 'co': None, 'date': '23-03-2022', 'time': '23:45', 'secs_since': 404, 'time_since': '6 mins', 'status': 'green'}","{'pm10': {'start': '2022-03-22 23:01:00', 'end': '2022-03-23 23:00:00', 'value': 12.17, 'num_readings': 95, 'percentage_capture': 98, 'rating': 1}, 'pm2_5': {'start': '2022-03-22 23:01:00', 'end': '2022-03-23 23:00:00', 'value': 7.59, 'num_readings': 95, 'percentage_capture': 98, 'rating': 1}}",74367,1,333380417.0,2497.0,2022-03-23 23:45:00,10.6,7.63,,,,,23-03-2022,23:45,404.0,6 mins,green
14,2006,Station 64,"Letterkenny, Co. Donegal",54.954644,-7.734842,EPA-64,EPA-64,0000-00-00,25,333379211.0,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 333379211, 'monitor_id': 2006, 'project_id': 2399, 'recorded_at': '2022-03-23 23:30:00', 'pm10': 24.3229, 'pm2_5': 19.8319, 'no2': None, 'o3': None, 'so2': 17.9345, 'co': None, 'date': '23-03-2022', 'time': '23:30', 'secs_since': 1304, 'time_since': '21 mins', 'status': 'green'}","{'pm10': {'start': '2022-03-22 23:01:00', 'end': '2022-03-23 23:00:00', 'value': 31.53, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}, 'pm2_5': {'start': '2022-03-22 23:01:00', 'end': '2022-03-23 23:00:00', 'value': 24.93, 'num_readings': 96, 'percentage_capture': 100, 'rating': 3}, 'so2': {'start': '2022-03-23 22:01:00', 'end': '2022-03-23 23:00:00', 'value': 21.11, 'num_readings': 4, 'percentage_capture': 100, 'rating': 1}}",66639,3,333379211.0,2399.0,2022-03-23 23:30:00,24.3229,19.8319,,,17.9345,,23-03-2022,23:30,1304.0,21 mins,green
15,1975,Station 27 (Protracted Communication Issue),"Malin Head, Co. Donegal",55.372036,-7.339224,EPA-27,EPA-27,0000-00-00,25,268346044.0,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 268346044, 'monitor_id': 1975, 'project_id': 2399, 'recorded_at': '2021-09-29 18:00:00', 'pm10': None, 'pm2_5': None, 'no2': None, 'o3': 48.7749, 'so2': None, 'co': None, 'date': '29-09-2021', 'time': '18:00', 'secs_since': 15144704, 'time_since': '6 months', 'status': 'red'}","{'o3': {'start': '2021-09-29 10:01:00', 'end': '2021-09-29 18:00:00', 'value': 66.09, 'num_readings': 5, 'percentage_capture': 62}}",14819,0,268346044.0,2399.0,2021-09-29 18:00:00,,,,48.7749,,,29-09-2021,18:00,15144704.0,6 months,red
16,2132,TNO2579,"Amiens Street, Dublin 1",53.352988,-6.248738,TNO2579-EPA,TNO2579-EPA,0000-00-00,19,333354396.0,"{'monitor_type_id': 19, 'name': 'Osiris', 'manufacturer': 'Turnkey', 'category': 'air', 'sample_code': 'TNO1234', 'sample_serial_number': 'TNO1234'}","{'air_reading_id': 333354396, 'monitor_id': 2132, 'project_id': 2497, 'recorded_at': '2022-03-23 22:00:00', 'pm10': 22.4, 'pm2_5': 13.83, 'no2': None, 'o3': None, 'so2': None, 'co': None, 'date': '23-03-2022', 'time': '22:00', 'secs_since': 6704, 'time_since': '1 hour', 'status': 'green'}","{'pm10': {'start': '2022-03-22 22:01:00', 'end': '2022-03-23 22:00:00', 'value': 18.73, 'num_readings': 1439, 'percentage_capture': 1498, 'rating': 2}, 'pm2_5': {'start': '2022-03-22 22:01:00', 'end': '2022-03-23 22:00:00', 'value': 10.46, 'num_readings': 1439, 'percentage_capture': 1498, 'rating': 1}}",77749,2,333354396.0,2497.0,2022-03-23 22:00:00,22.4,13.83,,,,,23-03-2022,22:00,6704.0,1 hour,green
17,1992,Station 50,"Ballyfermot, Dublin 10",53.340159,-6.351706,EPA-50,EPA-50,0000-00-00,25,333237445.0,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 333237445, 'monitor_id': 1992, 'project_id': 2399, 'recorded_at': '2022-03-23 13:30:00', 'pm10': 21.0976, 'pm2_5': 12.5628, 'no2': None, 'o3': None, 'so2': None, 'co': None, 'date': '23-03-2022', 'time': '13:30', 'secs_since': 37304, 'time_since': '10 hours', 'status': 'yellow'}","{'pm10': {'start': '2022-03-22 13:01:00', 'end': '2022-03-23 13:00:00', 'value': 25.74, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}, 'pm2_5': {'start': '2022-03-22 13:01:00', 'end': '2022-03-23 13:00:00', 'value': 17.75, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}}",66542,2,333237445.0,2399.0,2022-03-23 13:30:00,21.0976,12.5628,,,,,23-03-2022,13:30,37304.0,10 hours,yellow
18,2130,TNT1296,"Ballymun Library, Dublin 9",53.390433,-6.26527,TNT1296-EPA,TNT1296-EPA,0000-00-00,27,333378392.0,"{'monitor_type_id': 27, 'name': 'Topas', 'manufacturer': 'Turnkey', 'category': 'air', 'sample_code': 'TNT1234', 'sample_serial_number': 'TNT1234'}","{'air_reading_id': 333378392, 'monitor_id': 2130, 'project_id': 2497, 'recorded_at': '2022-03-23 23:30:00', 'pm10': 24.7, 'pm2_5': 17.87, 'no2': None, 'o3': None, 'so2': None, 'co': None, 'date': '23-03-2022', 'time': '23:30', 'secs_since': 1304, 'time_since': '21 mins', 'status': 'green'}","{'pm10': {'start': '2022-03-22 23:01:00', 'end': '2022-03-23 23:00:00', 'value': 10.76, 'num_readings': 95, 'percentage_capture': 98, 'rating': 1}, 'pm2_5': {'start': '2022-03-22 23:01:00', 'end': '2022-03-23 23:00:00', 'value': 7.65, 'num_readings': 95, 'percentage_capture': 98, 'rating': 1}}",255465,1,333378392.0,2497.0,2022-03-23 23:30:00,24.7,17.87,,,,,23-03-2022,23:30,1304.0,21 mins,green
19,1977,Station 29,"Blanchardstown, Dublin 15",53.38539,-6.369211,EPA-29,EPA-29,0000-00-00,25,333372000.0,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 333372000, 'monitor_id': 1977, 'project_id': 2399, 'recorded_at': '2022-03-23 23:00:00', 'pm10': 76.8617, 'pm2_5': 33.2916, 'no2': 17.8564, 'o3': None, 'so2': None, 'co': None, 'date': '23-03-2022', 'time': '23:00', 'secs_since': 3104, 'time_since': '51 mins', 'status': 'green'}","{'pm10': {'start': '2022-03-22 23:01:00', 'end': '2022-03-23 23:00:00', 'value': 44.64, 'num_readings': 96, 'percentage_capture': 100, 'rating': 3}, 'pm2_5': {'start': '2022-03-22 23:01:00', 'end': '2022-03-23 23:00:00', 'value': 19.03, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}, 'no2': {'start': '2022-03-23 22:01:00', 'end': '2022-03-23 23:00:00', 'value': 17.91, 'num_readings': 4, 'percentage_capture': 100, 'rating': 1}}",66534,3,333372000.0,2399.0,2022-03-23 23:00:00,76.8617,33.2916,17.8564,,,,23-03-2022,23:00,3104.0,51 mins,green
