,Date and Time,PM10,PM2.5,SO2,Site,location,date,time,daily mean,daily max
73563,2021-09-18 19:00:00,13.64,9.76,,EPA-101,Greystones Fire Station,2021-09-18,19:00:00,6.329583333333333,9.76
73579,2021-09-19 11:00:00,8.03,4.21,,EPA-101,Greystones Fire Station,2021-09-19,11:00:00,2.922916666666667,4.21
73613,2021-09-20 21:00:00,12.26,6.93,,EPA-101,Greystones Fire Station,2021-09-20,21:00:00,3.49375,6.93
73619,2021-09-21 03:00:00,12.15,7.96,,EPA-101,Greystones Fire Station,2021-09-21,03:00:00,5.52875,7.96
73655,2021-09-22 15:00:00,11.39,5.29,,EPA-101,Greystones Fire Station,2021-09-22,15:00:00,3.06,5.29
73686,2021-09-23 22:00:00,13.49,7.33,,EPA-101,Greystones Fire Station,2021-09-23,22:00:00,3.2587500000000005,7.33
73688,2021-09-24 00:00:00,10.67,6.22,,EPA-101,Greystones Fire Station,2021-09-24,00:00:00,2.1766666666666667,6.22
73732,2021-09-25 20:00:00,6.64,4.61,,EPA-101,Greystones Fire Station,2021-09-25,20:00:00,2.3816666666666664,4.61
73753,2021-09-26 17:00:00,12.36,6.64,,EPA-101,Greystones Fire Station,2021-09-26,17:00:00,2.0054166666666666,6.64
73783,2021-09-27 23:00:00,6.84,5.34,,EPA-101,Greystones Fire Station,2021-09-27,23:00:00,2.3833333333333333,5.34
73804,2021-09-28 20:00:00,6.97,4.19,,EPA-101,Greystones Fire Station,2021-09-28,20:00:00,2.5391666666666666,4.19
73822,2021-09-29 14:00:00,11.57,4.15,,EPA-101,Greystones Fire Station,2021-09-29,14:00:00,2.8845833333333335,4.15
73850,2021-09-30 18:00:00,13.9,6.83,,EPA-101,Greystones Fire Station,2021-09-30,18:00:00,3.1475000000000004,6.83
73877,2021-10-01 21:00:00,12.92,7.75,,EPA-101,Greystones Fire Station,2021-10-01,21:00:00,4.09,7.75
73900,2021-10-02 20:00:00,8.51,5.91,,EPA-101,Greystones Fire Station,2021-10-02,20:00:00,3.0920833333333335,5.91
73925,2021-10-03 21:00:00,6.57,4.78,,EPA-101,Greystones Fire Station,2021-10-03,21:00:00,2.6641666666666666,4.78
73948,2021-10-04 20:00:00,7.34,5.06,,EPA-101,Greystones Fire Station,2021-10-04,20:00:00,3.2854166666666664,5.06
73952,2021-10-05 00:00:00,5.99,4.76,,EPA-101,Greystones Fire Station,2021-10-05,00:00:00,2.1104166666666666,4.76
73986,2021-10-06 10:00:00,19.41,4.27,,EPA-101,Greystones Fire Station,2021-10-06,10:00:00,2.714166666666667,4.27
74002,2021-10-07 02:00:00,6.33,3.26,,EPA-101,Greystones Fire Station,2021-10-07,02:00:00,1.6375,3.26
74042,2021-10-08 18:00:00,21.2,7.58,,EPA-101,Greystones Fire Station,2021-10-08,18:00:00,5.033333333333333,7.58
74048,2021-10-09 00:00:00,8.47,4.88,,EPA-101,Greystones Fire Station,2021-10-09,00:00:00,3.481666666666667,4.88
74093,2021-10-10 21:00:00,18.0,13.28,,EPA-101,Greystones Fire Station,2021-10-10,21:00:00,5.372083333333333,13.28
74117,2021-10-11 21:00:00,36.68,28.84,,EPA-101,Greystones Fire Station,2021-10-11,21:00:00,9.039166666666667,28.84
74121,2021-10-12 01:00:00,11.5,7.55,,EPA-101,Greystones Fire Station,2021-10-12,01:00:00,3.858333333333333,7.55
74165,2021-10-13 21:00:00,26.91,21.08,,EPA-101,Greystones Fire Station,2021-10-13,21:00:00,6.081666666666667,21.08
74168,2021-10-14 00:00:00,23.03,20.4,,EPA-101,Greystones Fire Station,2021-10-14,00:00:00,7.447727272727272,20.4
74214,2021-10-15 21:00:00,12.49,9.26,,EPA-101,Greystones Fire Station,2021-10-15,21:00:00,4.1135,9.26
74240,2021-10-16 21:00:00,12.77,9.05,,EPA-101,Greystones Fire Station,2021-10-16,21:00:00,5.117826086956522,9.05
74243,2021-10-17 00:00:00,9.29,6.61,,EPA-101,Greystones Fire Station,2021-10-17,00:00:00,2.1350000000000002,6.61
74273,2021-10-18 06:00:00,12.31,8.05,,EPA-101,Greystones Fire Station,2021-10-18,06:00:00,3.90875,8.05
74312,2021-10-19 21:00:00,11.66,6.37,,EPA-101,Greystones Fire Station,2021-10-19,21:00:00,2.6374999999999997,6.37
74335,2021-10-20 20:00:00,16.92,8.23,,EPA-101,Greystones Fire Station,2021-10-20,20:00:00,5.114583333333333,8.23
74361,2021-10-21 22:00:00,18.6,13.4,,EPA-101,Greystones Fire Station,2021-10-21,22:00:00,4.952083333333333,13.4
74385,2021-10-22 22:00:00,13.88,10.74,,EPA-101,Greystones Fire Station,2021-10-22,22:00:00,3.5591666666666666,10.74
74408,2021-10-23 21:00:00,14.29,7.38,,EPA-101,Greystones Fire Station,2021-10-23,21:00:00,3.9295833333333334,7.38
74432,2021-10-24 21:00:00,30.21,24.77,,EPA-101,Greystones Fire Station,2021-10-24,21:00:00,5.922083333333333,24.77
74455,2021-10-25 20:00:00,32.37,27.49,,EPA-101,Greystones Fire Station,2021-10-25,20:00:00,6.332083333333333,27.49
74459,2021-10-26 00:00:00,12.92,9.53,,EPA-101,Greystones Fire Station,2021-10-26,00:00:00,4.742500000000001,9.53
74483,2021-10-27 00:00:00,9.24,5.52,,EPA-101,Greystones Fire Station,2021-10-27,00:00:00,1.9479166666666667,5.52
74530,2021-10-28 23:00:00,13.62,9.7,,EPA-101,Greystones Fire Station,2021-10-28,23:00:00,2.5683333333333334,9.7
74551,2021-10-29 20:00:00,15.59,8.84,,EPA-101,Greystones Fire Station,2021-10-29,20:00:00,3.8808333333333334,8.84
74576,2021-10-30 21:00:00,56.82,50.62,,EPA-101,Greystones Fire Station,2021-10-30,21:00:00,7.285416666666666,50.62
74582,2021-10-31 03:00:00,23.72,11.42,,EPA-101,Greystones Fire Station,2021-10-31,03:00:00,3.90875,11.42
74623,2021-11-01 20:00:00,11.83,9.09,,EPA-101,Greystones Fire Station,2021-11-01,20:00:00,3.515416666666667,9.09
74646,2021-11-02 19:00:00,10.4,7.2,,EPA-101,Greystones Fire Station,2021-11-02,19:00:00,3.609166666666667,7.2
74670,2021-11-03 19:00:00,10.82,6.81,,EPA-101,Greystones Fire Station,2021-11-03,19:00:00,3.4170833333333337,6.81
74695,2021-11-04 20:00:00,8.93,6.73,,EPA-101,Greystones Fire Station,2021-11-04,20:00:00,3.84,6.73
74719,2021-11-05 20:00:00,14.76,11.55,,EPA-101,Greystones Fire Station,2021-11-05,20:00:00,4.2612499999999995,11.55
74723,2021-11-06 00:00:00,13.42,12.43,,EPA-101,Greystones Fire Station,2021-11-06,00:00:00,4.7275,12.43
74766,2021-11-07 19:00:00,82.97,72.35,,EPA-101,Greystones Fire Station,2021-11-07,19:00:00,17.3875,72.35
74771,2021-11-08 00:00:00,21.28,15.89,,EPA-101,Greystones Fire Station,2021-11-08,00:00:00,5.4070833333333335,15.89
74817,2021-11-09 22:00:00,19.99,16.09,,EPA-101,Greystones Fire Station,2021-11-09,22:00:00,4.960833333333333,16.09
74839,2021-11-10 20:00:00,41.52,32.89,,EPA-101,Greystones Fire Station,2021-11-10,20:00:00,9.363750000000001,32.89
74843,2021-11-11 00:00:00,22.24,18.45,,EPA-101,Greystones Fire Station,2021-11-11,00:00:00,4.25125,18.45
74872,2021-11-12 05:00:00,17.95,11.09,,EPA-101,Greystones Fire Station,2021-11-12,05:00:00,4.570833333333334,11.09
74914,2021-11-13 23:00:00,34.22,30.13,,EPA-101,Greystones Fire Station,2021-11-13,23:00:00,7.0058333333333325,30.13
74915,2021-11-14 00:00:00,34.75,31.33,,EPA-101,Greystones Fire Station,2021-11-14,00:00:00,9.5575,31.33
74960,2021-11-15 21:00:00,16.77,11.46,,EPA-101,Greystones Fire Station,2021-11-15,21:00:00,4.34625,11.46
74986,2021-11-16 23:00:00,15.68,9.13,,EPA-101,Greystones Fire Station,2021-11-16,23:00:00,4.537083333333333,9.13
75006,2021-11-17 19:00:00,23.79,13.61,,EPA-101,Greystones Fire Station,2021-11-17,19:00:00,9.769166666666667,13.61
75030,2021-11-18 19:00:00,10.42,6.87,,EPA-101,Greystones Fire Station,2021-11-18,19:00:00,1.8433333333333335,6.87
75056,2021-11-19 21:00:00,57.61,43.9,,EPA-101,Greystones Fire Station,2021-11-19,21:00:00,6.355416666666667,43.9
75060,2021-11-20 01:00:00,17.16,13.4,,EPA-101,Greystones Fire Station,2021-11-20,01:00:00,4.401666666666666,13.4
75104,2021-11-21 21:00:00,15.05,11.05,,EPA-101,Greystones Fire Station,2021-11-21,21:00:00,7.1691666666666665,11.05
75128,2021-11-22 21:00:00,17.38,12.67,,EPA-101,Greystones Fire Station,2021-11-22,21:00:00,6.007083333333333,12.67
75153,2021-11-23 22:00:00,59.9,55.79,,EPA-101,Greystones Fire Station,2021-11-23,22:00:00,11.955416666666666,55.79
75157,2021-11-24 02:00:00,12.47,11.01,,EPA-101,Greystones Fire Station,2021-11-24,02:00:00,5.965,11.01
75197,2021-11-25 18:00:00,15.06,9.46,,EPA-101,Greystones Fire Station,2021-11-25,18:00:00,6.765833333333333,9.46
75223,2021-11-26 20:00:00,11.46,7.5,,EPA-101,Greystones Fire Station,2021-11-26,20:00:00,4.420416666666667,7.5
75244,2021-11-27 17:00:00,15.65,10.55,,EPA-101,Greystones Fire Station,2021-11-27,17:00:00,6.4558333333333335,10.55
75272,2021-11-28 21:00:00,16.7,14.08,,EPA-101,Greystones Fire Station,2021-11-28,21:00:00,6.084166666666667,14.08
75275,2021-11-29 00:00:00,12.01,9.22,,EPA-101,Greystones Fire Station,2021-11-29,00:00:00,3.1820833333333334,9.22
75318,2021-11-30 19:00:00,5.37,4.18,,EPA-101,Greystones Fire Station,2021-11-30,19:00:00,1.1920833333333334,4.18
75335,2021-12-01 12:00:00,16.17,8.49,,EPA-101,Greystones Fire Station,2021-12-01,12:00:00,4.050416666666666,8.49
75366,2021-12-02 19:00:00,22.25,17.12,,EPA-101,Greystones Fire Station,2021-12-02,19:00:00,6.2370833333333335,17.12
75391,2021-12-03 20:00:00,42.51,37.57,,EPA-101,Greystones Fire Station,2021-12-03,20:00:00,9.463333333333333,37.57
75414,2021-12-04 19:00:00,8.28,5.61,,EPA-101,Greystones Fire Station,2021-12-04,19:00:00,4.004166666666666,5.61
75441,2021-12-05 22:00:00,53.11,49.22,,EPA-101,Greystones Fire Station,2021-12-05,22:00:00,10.23625,49.22
75443,2021-12-06 00:00:00,10.51,8.49,,EPA-101,Greystones Fire Station,2021-12-06,00:00:00,3.8466666666666662,8.49
75476,2021-12-07 09:00:00,24.37,13.29,,EPA-101,Greystones Fire Station,2021-12-07,09:00:00,5.4991666666666665,13.29
75510,2021-12-08 19:00:00,14.26,8.54,,EPA-101,Greystones Fire Station,2021-12-08,19:00:00,4.2525,8.54
75534,2021-12-09 19:00:00,10.71,7.33,,EPA-101,Greystones Fire Station,2021-12-09,19:00:00,4.444166666666667,7.33
75562,2021-12-10 23:00:00,19.38,11.91,,EPA-101,Greystones Fire Station,2021-12-10,23:00:00,5.267083333333333,11.91
75585,2021-12-11 22:00:00,30.97,28.79,,EPA-101,Greystones Fire Station,2021-12-11,22:00:00,8.047916666666667,28.79
75606,2021-12-12 19:00:00,9.99,6.82,,EPA-101,Greystones Fire Station,2021-12-12,19:00:00,2.785833333333333,6.82
75631,2021-12-13 20:00:00,48.01,43.95,,EPA-101,Greystones Fire Station,2021-12-13,20:00:00,12.78375,43.95
75656,2021-12-14 21:00:00,18.18,17.07,,EPA-101,Greystones Fire Station,2021-12-14,21:00:00,5.239583333333333,17.07
75680,2021-12-15 21:00:00,58.81,56.58,,EPA-101,Greystones Fire Station,2021-12-15,21:00:00,11.65375,56.58
75704,2021-12-16 21:00:00,87.63,84.12,,EPA-101,Greystones Fire Station,2021-12-16,21:00:00,17.936666666666667,84.12
75730,2021-12-17 23:00:00,28.84,26.56,,EPA-101,Greystones Fire Station,2021-12-17,23:00:00,10.220416666666667,26.56
75750,2021-12-18 19:00:00,122.0,117.1,,EPA-101,Greystones Fire Station,2021-12-18,19:00:00,31.721666666666664,117.1
75755,2021-12-19 00:00:00,34.84,33.21,,EPA-101,Greystones Fire Station,2021-12-19,00:00:00,14.276666666666666,33.21
75797,2021-12-20 18:00:00,16.62,12.94,,EPA-101,Greystones Fire Station,2021-12-20,18:00:00,7.487916666666667,12.94
75825,2021-12-21 22:00:00,22.48,16.63,,EPA-101,Greystones Fire Station,2021-12-21,22:00:00,10.79,16.63
75832,2021-12-22 05:00:00,24.33,19.1,,EPA-101,Greystones Fire Station,2021-12-22,05:00:00,14.163333333333334,19.1
75874,2021-12-23 23:00:00,28.12,23.43,,EPA-101,Greystones Fire Station,2021-12-23,23:00:00,8.977916666666667,23.43
75898,2021-12-24 23:00:00,48.79,45.73,,EPA-101,Greystones Fire Station,2021-12-24,23:00:00,14.027083333333332,45.73
75900,2021-12-25 01:00:00,29.03,23.54,,EPA-101,Greystones Fire Station,2021-12-25,01:00:00,10.58625,23.54
75945,2021-12-26 22:00:00,54.67,51.0,,EPA-101,Greystones Fire Station,2021-12-26,22:00:00,15.895416666666668,51.0
75947,2021-12-27 00:00:00,16.91,15.13,,EPA-101,Greystones Fire Station,2021-12-27,00:00:00,5.774583333333333,15.13
75993,2021-12-28 22:00:00,69.45,66.46,,EPA-101,Greystones Fire Station,2021-12-28,22:00:00,11.081249999999999,66.46
76018,2021-12-29 23:00:00,32.45,28.44,,EPA-101,Greystones Fire Station,2021-12-29,23:00:00,8.945416666666667,28.44
76019,2021-12-30 00:00:00,29.01,25.87,,EPA-101,Greystones Fire Station,2021-12-30,00:00:00,5.110416666666667,25.87
76063,2021-12-31 20:00:00,27.77,20.42,,EPA-101,Greystones Fire Station,2021-12-31,20:00:00,8.038333333333332,20.42
76074,2022-01-01 07:00:00,29.15,18.2,,EPA-101,Greystones Fire Station,2022-01-01,07:00:00,14.234166666666667,18.2
76092,2022-01-02 01:00:00,21.01,12.65,,EPA-101,Greystones Fire Station,2022-01-02,01:00:00,7.101666666666667,12.65
76134,2022-01-03 19:00:00,22.01,16.66,,EPA-101,Greystones Fire Station,2022-01-03,19:00:00,7.389166666666667,16.66
76158,2022-01-04 19:00:00,15.04,11.02,,EPA-101,Greystones Fire Station,2022-01-04,19:00:00,6.83125,11.02
76186,2022-01-05 23:00:00,41.71,37.67,,EPA-101,Greystones Fire Station,2022-01-05,23:00:00,9.973333333333334,37.67
76187,2022-01-06 00:00:00,18.68,15.41,,EPA-101,Greystones Fire Station,2022-01-06,00:00:00,4.680416666666667,15.41
76232,2022-01-07 21:00:00,17.24,14.79,,EPA-101,Greystones Fire Station,2022-01-07,21:00:00,4.27125,14.79
76246,2022-01-08 11:00:00,26.47,15.94,,EPA-101,Greystones Fire Station,2022-01-08,11:00:00,6.5304166666666665,15.94
76279,2022-01-09 20:00:00,27.6,22.44,,EPA-101,Greystones Fire Station,2022-01-09,20:00:00,8.760416666666666,22.44
76283,2022-01-10 00:00:00,10.7,9.2,,EPA-101,Greystones Fire Station,2022-01-10,00:00:00,3.667083333333333,9.2
76328,2022-01-11 21:00:00,70.19,65.48,,EPA-101,Greystones Fire Station,2022-01-11,21:00:00,16.341666666666665,65.48
76350,2022-01-12 19:00:00,91.18,86.23,,EPA-101,Greystones Fire Station,2022-01-12,19:00:00,18.44333333333333,86.23
76375,2022-01-13 20:00:00,88.36,83.08,,EPA-101,Greystones Fire Station,2022-01-13,20:00:00,17.225416666666664,83.08
76401,2022-01-14 22:00:00,83.22,79.15,,EPA-101,Greystones Fire Station,2022-01-14,22:00:00,26.62875,79.15
76421,2022-01-15 18:00:00,85.04,80.88,,EPA-101,Greystones Fire Station,2022-01-15,18:00:00,19.694583333333334,80.88
76446,2022-01-16 19:00:00,40.94,33.45,,EPA-101,Greystones Fire Station,2022-01-16,19:00:00,11.592083333333333,33.45
76470,2022-01-17 19:00:00,81.04,76.29,,EPA-101,Greystones Fire Station,2022-01-17,19:00:00,14.043333333333335,76.29
76494,2022-01-18 19:00:00,15.43,11.41,,EPA-101,Greystones Fire Station,2022-01-18,19:00:00,7.303333333333334,11.41
76519,2022-01-19 20:00:00,13.71,9.44,,EPA-101,Greystones Fire Station,2022-01-19,20:00:00,5.614999999999999,9.44
76543,2022-01-20 20:00:00,46.92,35.31,,EPA-101,Greystones Fire Station,2022-01-20,20:00:00,11.099583333333333,35.31
76569,2022-01-21 22:00:00,67.28,62.68,,EPA-101,Greystones Fire Station,2022-01-21,22:00:00,13.459583333333333,62.68
76591,2022-01-22 20:00:00,53.09,49.01,,EPA-101,Greystones Fire Station,2022-01-22,20:00:00,12.057916666666666,49.01
76615,2022-01-23 20:00:00,24.78,17.51,,EPA-101,Greystones Fire Station,2022-01-23,20:00:00,8.421666666666667,17.51
76639,2022-01-24 20:00:00,56.49,47.69,,EPA-101,Greystones Fire Station,2022-01-24,20:00:00,23.145833333333332,47.69
76663,2022-01-25 20:00:00,103.82,94.01,,EPA-101,Greystones Fire Station,2022-01-25,20:00:00,26.352500000000003,94.01
76667,2022-01-26 00:00:00,33.19,28.54,,EPA-101,Greystones Fire Station,2022-01-26,00:00:00,8.496666666666666,28.54
76712,2022-01-27 21:00:00,16.82,14.16,,EPA-101,Greystones Fire Station,2022-01-27,21:00:00,4.04625,14.16
76725,2022-01-28 10:00:00,10.14,5.57,,EPA-101,Greystones Fire Station,2022-01-28,10:00:00,3.1656521739130437,5.57
76764,2022-01-29 23:00:00,22.07,15.26,,EPA-101,Greystones Fire Station,2022-01-29,23:00:00,6.8786956521739135,15.26
76765,2022-01-30 00:00:00,15.15,9.48,,EPA-101,Greystones Fire Station,2022-01-30,00:00:00,6.470833333333334,9.48
76811,2022-01-31 22:00:00,16.65,9.24,,EPA-101,Greystones Fire Station,2022-01-31,22:00:00,6.765833333333333,9.24
76813,2022-02-01 00:00:00,13.43,7.74,,EPA-101,Greystones Fire Station,2022-02-01,00:00:00,1.8175,7.74
76857,2022-02-02 20:00:00,14.23,12.17,,EPA-101,Greystones Fire Station,2022-02-02,20:00:00,5.410416666666666,12.17
76880,2022-02-03 19:00:00,26.48,11.18,,EPA-101,Greystones Fire Station,2022-02-03,19:00:00,4.295,11.18
76906,2022-02-04 21:00:00,11.63,7.95,,EPA-101,Greystones Fire Station,2022-02-04,21:00:00,4.3133333333333335,7.95
76921,2022-02-05 12:00:00,11.63,6.41,,EPA-101,Greystones Fire Station,2022-02-05,12:00:00,3.6154166666666665,6.41
76952,2022-02-06 19:00:00,19.83,12.99,,EPA-101,Greystones Fire Station,2022-02-06,19:00:00,4.865833333333334,12.99
76957,2022-02-07 00:00:00,15.82,9.18,,EPA-101,Greystones Fire Station,2022-02-07,00:00:00,4.974583333333333,9.18
77003,2022-02-08 22:00:00,8.2,7.23,,EPA-101,Greystones Fire Station,2022-02-08,22:00:00,3.12375,7.23
77024,2022-02-09 19:00:00,17.84,12.44,,EPA-101,Greystones Fire Station,2022-02-09,19:00:00,4.46625,12.44
77052,2022-02-10 23:00:00,10.89,7.43,,EPA-101,Greystones Fire Station,2022-02-10,23:00:00,4.357272727272727,7.43
77062,2022-02-11 09:00:00,24.17,8.98,,EPA-101,Greystones Fire Station,2022-02-11,09:00:00,5.309583333333333,8.98
77096,2022-02-12 19:00:00,19.57,12.8,,EPA-101,Greystones Fire Station,2022-02-12,19:00:00,4.2375,12.8
77101,2022-02-13 00:00:00,13.55,8.89,,EPA-101,Greystones Fire Station,2022-02-13,00:00:00,3.0404166666666668,8.89
77147,2022-02-14 22:00:00,16.95,13.44,,EPA-101,Greystones Fire Station,2022-02-14,22:00:00,3.5658333333333334,13.44
77168,2022-02-15 19:00:00,20.26,15.52,,EPA-101,Greystones Fire Station,2022-02-15,19:00:00,8.255416666666667,15.52
77180,2022-02-16 07:00:00,21.42,14.86,,EPA-101,Greystones Fire Station,2022-02-16,07:00:00,6.551666666666667,14.86
77181,2022-02-16 08:00:00,21.4,14.86,,EPA-101,Greystones Fire Station,2022-02-16,08:00:00,6.551666666666667,14.86
77217,2022-02-17 20:00:00,23.98,17.09,,EPA-101,Greystones Fire Station,2022-02-17,20:00:00,5.47625,17.09
77226,2022-02-18 05:00:00,18.68,10.0,,EPA-101,Greystones Fire Station,2022-02-18,05:00:00,4.375652173913044,10.0
77265,2022-02-19 19:00:00,18.3,15.72,,EPA-101,Greystones Fire Station,2022-02-19,19:00:00,4.259166666666666,15.72
77270,2022-02-20 00:00:00,14.68,10.37,,EPA-101,Greystones Fire Station,2022-02-20,00:00:00,4.40375,10.37
77314,2022-02-21 20:00:00,36.18,23.45,,EPA-101,Greystones Fire Station,2022-02-21,20:00:00,11.279166666666667,23.45
77341,2022-02-22 23:00:00,15.34,8.51,,EPA-101,Greystones Fire Station,2022-02-22,23:00:00,6.322916666666667,8.51
77342,2022-02-23 00:00:00,15.68,8.44,,EPA-101,Greystones Fire Station,2022-02-23,00:00:00,4.84625,8.44
77385,2022-02-24 19:00:00,12.81,8.0,,EPA-101,Greystones Fire Station,2022-02-24,19:00:00,3.8241666666666667,8.0
77410,2022-02-25 20:00:00,16.68,11.21,,EPA-101,Greystones Fire Station,2022-02-25,20:00:00,6.918333333333333,11.21
77432,2022-02-26 18:00:00,20.97,12.94,,EPA-101,Greystones Fire Station,2022-02-26,18:00:00,7.89875,12.94
77453,2022-02-27 15:00:00,27.3,15.07,,EPA-101,Greystones Fire Station,2022-02-27,15:00:00,10.946666666666667,15.07
77481,2022-02-28 19:00:00,25.53,19.82,,EPA-101,Greystones Fire Station,2022-02-28,19:00:00,7.4925,19.82
77509,2022-03-01 23:00:00,21.22,10.57,,EPA-101,Greystones Fire Station,2022-03-01,23:00:00,6.739999999999999,10.57
77511,2022-03-02 01:00:00,25.67,13.71,,EPA-101,Greystones Fire Station,2022-03-02,01:00:00,8.258750000000001,13.71
77554,2022-03-03 20:00:00,80.72,68.94,,EPA-101,Greystones Fire Station,2022-03-03,20:00:00,10.062916666666666,68.94
77579,2022-03-04 21:00:00,20.96,15.55,,EPA-101,Greystones Fire Station,2022-03-04,21:00:00,5.132083333333333,15.55
77582,2022-03-05 00:00:00,12.09,8.72,,EPA-101,Greystones Fire Station,2022-03-05,00:00:00,4.480416666666667,8.72
