,Site,location,daily max mean,month,monthly max mean,count months,count
235659,EPA-64,"Letterkenny, Co. Donegal",60.48374999999999,11,50.07733333333332,,12
236379,EPA-64,"Letterkenny, Co. Donegal",60.48374999999999,12,69.54645161290323,,12
230517,EPA-64,"Letterkenny, Co. Donegal",60.48374999999999,4,38.844333333333324,,12
237867,EPA-64,"Letterkenny, Co. Donegal",60.48374999999999,2,31.42357142857144,,12
107572,EPA-43,Longford Town,71.26666666666668,2,28.87444444444445,,12
106850,EPA-43,Longford Town,71.26666666666668,1,60.32096774193548,,12
106106,EPA-43,Longford Town,71.26666666666668,12,38.29096774193548,,12
100262,EPA-43,Longford Town,71.26666666666668,4,26.857666666666667,,12
105383,EPA-43,Longford Town,71.26666666666668,11,52.76800000000001,,12
104639,EPA-43,Longford Town,71.26666666666668,10,31.950967741935486,,12
103920,EPA-43,Longford Town,71.26666666666668,9,18.607741935483872,,12
103155,EPA-43,Longford Town,71.26666666666668,8,12.386451612903224,,12
102453,EPA-43,Longford Town,71.26666666666668,7,11.582999999999998,,12
101726,EPA-43,Longford Town,71.26666666666668,6,14.273636363636363,,12
99825,EPA-43,Longford Town,71.26666666666668,3,46.8828125,,12
100997,EPA-43,Longford Town,71.26666666666668,5,22.94032258064517,,12
247519,EPA-67,"Macroom, Co. Cork",55.592083333333335,3,57.471875000000004,,12
253703,EPA-67,"Macroom, Co. Cork",55.592083333333335,12,51.75965517241378,,12
252244,EPA-67,"Macroom, Co. Cork",55.592083333333335,10,30.188709677419357,,12
251533,EPA-67,"Macroom, Co. Cork",55.592083333333335,9,13.742333333333331,,12
250861,EPA-67,"Macroom, Co. Cork",55.592083333333335,8,8.886206896551725,,12
250102,EPA-67,"Macroom, Co. Cork",55.592083333333335,7,9.143548387096773,,12
249409,EPA-67,"Macroom, Co. Cork",55.592083333333335,6,10.998275862068967,,12
247960,EPA-67,"Macroom, Co. Cork",55.592083333333335,4,29.207666666666665,,12
252984,EPA-67,"Macroom, Co. Cork",55.592083333333335,11,53.77700000000001,,12
248665,EPA-67,"Macroom, Co. Cork",55.592083333333335,5,19.581612903225807,,12
255089,EPA-67,"Macroom, Co. Cork",55.592083333333335,2,49.33107142857143,,12
254367,EPA-67,"Macroom, Co. Cork",55.592083333333335,1,81.55483870967741,,12
334586,EPA-82,"Mallow, Co. Cork",35.87208333333333,4,16.60666666666667,,12
341205,EPA-82,"Mallow, Co. Cork",35.87208333333333,1,37.06645161290322,,12
340461,EPA-82,"Mallow, Co. Cork",35.87208333333333,12,45.13312500000001,,12
339742,EPA-82,"Mallow, Co. Cork",35.87208333333333,11,25.52066666666667,,12
339001,EPA-82,"Mallow, Co. Cork",35.87208333333333,10,13.555806451612904,,12
334153,EPA-82,"Mallow, Co. Cork",35.87208333333333,3,24.13875,,12
337537,EPA-82,"Mallow, Co. Cork",35.87208333333333,8,8.173437499999999,,12
336773,EPA-82,"Mallow, Co. Cork",35.87208333333333,7,8.53774193548387,,12
336047,EPA-82,"Mallow, Co. Cork",35.87208333333333,6,9.710666666666668,,12
335322,EPA-82,"Mallow, Co. Cork",35.87208333333333,5,9.77096774193548,,12
338281,EPA-82,"Mallow, Co. Cork",35.87208333333333,9,17.893333333333338,,12
341951,EPA-82,"Mallow, Co. Cork",35.87208333333333,2,21.999285714285715,,12
348780,EPA-83,"Naas, Co. Kildare",38.5575,1,32.82354838709678,,12
342949,EPA-83,"Naas, Co. Kildare",38.5575,4,15.4875,,12
348052,EPA-83,"Naas, Co. Kildare",38.5575,12,37.75096774193548,,12
347330,EPA-83,"Naas, Co. Kildare",38.5575,11,22.466999999999995,,12
346586,EPA-83,"Naas, Co. Kildare",38.5575,10,12.1571875,,12
345860,EPA-83,"Naas, Co. Kildare",38.5575,9,11.559000000000001,,12
345115,EPA-83,"Naas, Co. Kildare",38.5575,8,8.834516129032258,,12
344585,EPA-83,"Naas, Co. Kildare",38.5575,7,7.288695652173914,,12
343864,EPA-83,"Naas, Co. Kildare",38.5575,6,35.062999999999995,,12
343119,EPA-83,"Naas, Co. Kildare",38.5575,5,8.419677419354837,,12
350194,EPA-83,"Naas, Co. Kildare",38.5575,3,32.92071428571428,,12
349520,EPA-83,"Naas, Co. Kildare",38.5575,2,16.335714285714285,,12
91620,EPA-39,"People's Park, Limerick",38.62958333333333,4,21.356666666666676,,12
92345,EPA-39,"People's Park, Limerick",38.62958333333333,5,10.881612903225808,,12
93072,EPA-39,"People's Park, Limerick",38.62958333333333,6,9.285333333333334,,12
93803,EPA-39,"People's Park, Limerick",38.62958333333333,7,8.065483870967741,,12
95140,EPA-39,"People's Park, Limerick",38.62958333333333,9,10.578000000000001,,12
95857,EPA-39,"People's Park, Limerick",38.62958333333333,10,14.09677419354839,,12
96603,EPA-39,"People's Park, Limerick",38.62958333333333,11,29.14266666666667,,12
97328,EPA-39,"People's Park, Limerick",38.62958333333333,12,40.871612903225795,,12
98070,EPA-39,"People's Park, Limerick",38.62958333333333,1,55.146874999999994,,12
98799,EPA-39,"People's Park, Limerick",38.62958333333333,2,28.85428571428572,,12
91478,EPA-39,"People's Park, Limerick",38.62958333333333,3,41.593809523809526,,12
94557,EPA-39,"People's Park, Limerick",38.62958333333333,8,10.3156,,12
20334,EPA-16,"Portlaoise, Co. Laois",33.009166666666665,3,30.349375000000002,,12
28059,EPA-16,"Portlaoise, Co. Laois",33.009166666666665,2,16.21464285714286,,12
26585,EPA-16,"Portlaoise, Co. Laois",33.009166666666665,12,24.989354838709673,,12
25866,EPA-16,"Portlaoise, Co. Laois",33.009166666666665,11,25.26433333333333,,12
25188,EPA-16,"Portlaoise, Co. Laois",33.009166666666665,10,14.836206896551724,,12
24463,EPA-16,"Portlaoise, Co. Laois",33.009166666666665,9,11.12,,12
23697,EPA-16,"Portlaoise, Co. Laois",33.009166666666665,8,9.083548387096773,,12
22947,EPA-16,"Portlaoise, Co. Laois",33.009166666666665,7,9.426451612903227,,12
22233,EPA-16,"Portlaoise, Co. Laois",33.009166666666665,6,10.353225806451613,,12
21484,EPA-16,"Portlaoise, Co. Laois",33.009166666666665,5,12.1528125,,12
20750,EPA-16,"Portlaoise, Co. Laois",33.009166666666665,4,24.325000000000003,,12
27317,EPA-16,"Portlaoise, Co. Laois",33.009166666666665,1,34.52225806451613,,12
246501,EPA-66,Tipperary Town,55.41625,2,19.61678571428572,,12
