,Site,location,month,monthly max mean
3101,EPA-67,"Macroom, Co. Cork",3,57.471875
3119,EPA-67,"Macroom, Co. Cork",4,29.207666666666668
3149,EPA-67,"Macroom, Co. Cork",5,19.581612903225807
3180,EPA-67,"Macroom, Co. Cork",6,10.998275862068965
3209,EPA-67,"Macroom, Co. Cork",7,9.143548387096773
3240,EPA-67,"Macroom, Co. Cork",8,8.886206896551723
3269,EPA-67,"Macroom, Co. Cork",9,13.742333333333333
3299,EPA-67,"Macroom, Co. Cork",10,30.188709677419357
3330,EPA-67,"Macroom, Co. Cork",11,53.777
3360,EPA-67,"Macroom, Co. Cork",12,51.759655172413794
3389,EPA-67,"Macroom, Co. Cork",1,81.55483870967743
3420,EPA-67,"Macroom, Co. Cork",2,49.33107142857143
3462,EPA-70,"Athlone Civic Centre & Library, Co. Westmeath",3,47.201875
3480,EPA-70,"Athlone Civic Centre & Library, Co. Westmeath",4,31.316666666666666
3510,EPA-70,"Athlone Civic Centre & Library, Co. Westmeath",5,16.142666666666667
3540,EPA-70,"Athlone Civic Centre & Library, Co. Westmeath",6,11.0725
3572,EPA-70,"Athlone Civic Centre & Library, Co. Westmeath",7,9.959032258064516
3603,EPA-70,"Athlone Civic Centre & Library, Co. Westmeath",8,10.406538461538462
3629,EPA-70,"Athlone Civic Centre & Library, Co. Westmeath",9,14.846333333333332
3659,EPA-70,"Athlone Civic Centre & Library, Co. Westmeath",10,21.14
3690,EPA-70,"Athlone Civic Centre & Library, Co. Westmeath",11,38.63466666666667
3720,EPA-70,"Athlone Civic Centre & Library, Co. Westmeath",12,25.60483870967742
3751,EPA-70,"Athlone Civic Centre & Library, Co. Westmeath",1,37.55838709677419
3782,EPA-70,"Athlone Civic Centre & Library, Co. Westmeath",2,22.97964285714286
3824,EPA-71,"Tralee Library, Co. Kerry",3,65.05499999999999
3842,EPA-71,"Tralee Library, Co. Kerry",4,35.63857142857143
3870,EPA-71,"Tralee Library, Co. Kerry",5,23.065483870967743
3901,EPA-71,"Tralee Library, Co. Kerry",6,17.035666666666668
3931,EPA-71,"Tralee Library, Co. Kerry",7,14.328064516129032
3962,EPA-71,"Tralee Library, Co. Kerry",8,13.471290322580646
3993,EPA-71,"Tralee Library, Co. Kerry",9,15.371333333333332
4023,EPA-71,"Tralee Library, Co. Kerry",10,33.582258064516125
4054,EPA-71,"Tralee Library, Co. Kerry",11,71.02166666666668
4084,EPA-71,"Tralee Library, Co. Kerry",12,70.20354838709677
4115,EPA-71,"Tralee Library, Co. Kerry",1,110.1609677419355
4146,EPA-71,"Tralee Library, Co. Kerry",2,48.91357142857142
4188,EPA-83,"Naas, Co. Kildare",4,15.4875
4196,EPA-83,"Naas, Co. Kildare",5,8.419677419354839
4227,EPA-83,"Naas, Co. Kildare",6,35.063
4257,EPA-83,"Naas, Co. Kildare",7,7.288695652173914
4280,EPA-83,"Naas, Co. Kildare",8,8.834516129032258
4311,EPA-83,"Naas, Co. Kildare",9,11.559
4341,EPA-83,"Naas, Co. Kildare",10,12.1571875
4373,EPA-83,"Naas, Co. Kildare",11,22.467
4403,EPA-83,"Naas, Co. Kildare",12,37.75096774193548
4434,EPA-83,"Naas, Co. Kildare",1,32.82354838709677
4465,EPA-83,"Naas, Co. Kildare",2,16.335714285714285
4493,EPA-83,"Naas, Co. Kildare",3,32.92071428571428
4507,EPA-85,"Henry Street, Limerick",6,13.32
4508,EPA-85,"Henry Street, Limerick",7,8.742903225806453
4539,EPA-85,"Henry Street, Limerick",8,9.7690625
4571,EPA-85,"Henry Street, Limerick",9,10.396999999999998
4601,EPA-85,"Henry Street, Limerick",10,11.950645161290323
4632,EPA-85,"Henry Street, Limerick",11,21.153000000000002
4662,EPA-85,"Henry Street, Limerick",12,31.49225806451613
4693,EPA-85,"Henry Street, Limerick",1,48.75483870967742
4724,EPA-85,"Henry Street, Limerick",2,20.32107142857143
4752,EPA-85,"Henry Street, Limerick",3,39.355714285714285
