,monitor_id,label,location,latitude,longitude,code,serial_number,last_calibrated,monitor_type_id,latest_reading_id,monitor_type,latest_reading,latest_averages,num_readings,current_rating,air_reading_id,project_id,recorded_at,pm10,pm2_5,no2,o3,so2,co,date,time,secs_since,time_since,status
10,2502,Station 82,"Mallow, Co. Cork",52.1340485,-8.640705,EPA-82,EPA-82,0000-00-00,25,333584015.0,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 333584015, 'monitor_id': 2502, 'project_id': 2399, 'recorded_at': '2022-03-24 12:45:00', 'pm10': 34.5753, 'pm2_5': 13.7415, 'no2': 22.4145, 'o3': 82.2982, 'so2': None, 'co': None, 'date': '24-03-2022', 'time': '12:45', 'secs_since': 3707, 'time_since': '1 hour', 'status': 'green'}","{'pm10': {'start': '2022-03-23 12:01:00', 'end': '2022-03-24 12:00:00', 'value': 23.33, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}, 'pm2_5': {'start': '2022-03-23 12:01:00', 'end': '2022-03-24 12:00:00', 'value': 15.49, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}, 'o3': {'start': '2022-03-24 04:01:00', 'end': '2022-03-24 12:00:00', 'value': 76.53, 'num_readings': 32, 'percentage_capture': 100, 'rating': 3}, 'no2': {'start': '2022-03-24 11:01:00', 'end': '2022-03-24 12:00:00', 'value': 19.07, 'num_readings': 4, 'percentage_capture': 100, 'rating': 1}}",42024,3,333584015.0,2399.0,2022-03-24 12:45:00,34.5753,13.7415,22.4145,82.2982,,,24-03-2022,12:45,3707.0,1 hour,green
11,1998,Station 56,"South Link Road, Cork",51.878524,-8.465053,EPA-56,EPA-56,0000-00-00,25,333583933.0,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 333583933, 'monitor_id': 1998, 'project_id': 2399, 'recorded_at': '2022-03-24 13:00:00', 'pm10': 24, 'pm2_5': None, 'no2': 24.7307, 'o3': 50.234, 'so2': 0.5795, 'co': 0.5032, 'date': '24-03-2022', 'time': '13:00', 'secs_since': 2807, 'time_since': '46 mins', 'status': 'green'}","{'pm10': {'start': '2022-03-23 13:01:00', 'end': '2022-03-24 13:00:00', 'value': 27.46, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}, 'o3': {'start': '2022-03-24 05:01:00', 'end': '2022-03-24 13:00:00', 'value': 33.09, 'num_readings': 32, 'percentage_capture': 100, 'rating': 1}, 'no2': {'start': '2022-03-24 12:01:00', 'end': '2022-03-24 13:00:00', 'value': 27.13, 'num_readings': 4, 'percentage_capture': 100, 'rating': 1}, 'so2': {'start': '2022-03-24 12:01:00', 'end': '2022-03-24 13:00:00', 'value': 0.71, 'num_readings': 4, 'percentage_capture': 100, 'rating': 1}, 'co': {'start': '2022-03-24 12:01:00', 'end': '2022-03-24 13:00:00', 'value': 0.52, 'num_readings': 4, 'percentage_capture': 100, 'rating': None}}",65671,2,333583933.0,2399.0,2022-03-24 13:00:00,24.0,,24.7307,50.234,0.5795,0.5032,24-03-2022,13:00,2807.0,46 mins,green
12,1969,Station 21 (Ozone Instrument Issue),University College Cork,51.900018,-8.486343,EPA-21,EPA-21,0000-00-00,25,333583863.0,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 333583863, 'monitor_id': 1969, 'project_id': 2399, 'recorded_at': '2022-03-24 12:00:00', 'pm10': None, 'pm2_5': None, 'no2': 13.1963, 'o3': None, 'so2': None, 'co': None, 'date': '24-03-2022', 'time': '12:00', 'secs_since': 6407, 'time_since': '1 hour', 'status': 'green'}","{'no2': {'start': '2022-03-24 11:01:00', 'end': '2022-03-24 12:00:00', 'value': 15.2, 'num_readings': 4, 'percentage_capture': 100, 'rating': 1}}",66562,1,333583863.0,2399.0,2022-03-24 12:00:00,,,13.1963,,,,24-03-2022,12:00,6407.0,1 hour,green
13,2088,TNO3955,"Buncranna, Co. Donegal",55.137443,-7.456503,TNO3955,TNO3955,0000-00-00,19,333588723.0,"{'monitor_type_id': 19, 'name': 'Osiris', 'manufacturer': 'Turnkey', 'category': 'air', 'sample_code': 'TNO1234', 'sample_serial_number': 'TNO1234'}","{'air_reading_id': 333588723, 'monitor_id': 2088, 'project_id': 2497, 'recorded_at': '2022-03-24 13:30:00', 'pm10': 7.6, 'pm2_5': 5.89, 'no2': None, 'o3': None, 'so2': None, 'co': None, 'date': '24-03-2022', 'time': '13:30', 'secs_since': 1007, 'time_since': '16 mins', 'status': 'green'}","{'pm10': {'start': '2022-03-23 13:01:00', 'end': '2022-03-24 13:00:00', 'value': 12.21, 'num_readings': 95, 'percentage_capture': 98, 'rating': 1}, 'pm2_5': {'start': '2022-03-23 13:01:00', 'end': '2022-03-24 13:00:00', 'value': 7.8100000000000005, 'num_readings': 95, 'percentage_capture': 98, 'rating': 1}}",74422,1,333588723.0,2497.0,2022-03-24 13:30:00,7.6,5.89,,,,,24-03-2022,13:30,1007.0,16 mins,green
14,2006,Station 64,"Letterkenny, Co. Donegal",54.954644,-7.734842,EPA-64,EPA-64,0000-00-00,25,333591578.0,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 333591578, 'monitor_id': 2006, 'project_id': 2399, 'recorded_at': '2022-03-24 13:30:00', 'pm10': 11.358, 'pm2_5': 7.2835, 'no2': None, 'o3': None, 'so2': 6.5192, 'co': None, 'date': '24-03-2022', 'time': '13:30', 'secs_since': 1007, 'time_since': '16 mins', 'status': 'green'}","{'pm10': {'start': '2022-03-23 13:01:00', 'end': '2022-03-24 13:00:00', 'value': 27.34, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}, 'pm2_5': {'start': '2022-03-23 13:01:00', 'end': '2022-03-24 13:00:00', 'value': 20.46, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}, 'so2': {'start': '2022-03-24 12:01:00', 'end': '2022-03-24 13:00:00', 'value': 5.69, 'num_readings': 4, 'percentage_capture': 100, 'rating': 1}}",66695,2,333591578.0,2399.0,2022-03-24 13:30:00,11.358,7.2835,,,6.5192,,24-03-2022,13:30,1007.0,16 mins,green
15,1975,Station 27 (Protracted Communication Issue),"Malin Head, Co. Donegal",55.372036,-7.339224,EPA-27,EPA-27,0000-00-00,25,268346044.0,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 268346044, 'monitor_id': 1975, 'project_id': 2399, 'recorded_at': '2021-09-29 18:00:00', 'pm10': None, 'pm2_5': None, 'no2': None, 'o3': 48.7749, 'so2': None, 'co': None, 'date': '29-09-2021', 'time': '18:00', 'secs_since': 15194807, 'time_since': '6 months', 'status': 'red'}","{'o3': {'start': '2021-09-29 10:01:00', 'end': '2021-09-29 18:00:00', 'value': 66.09, 'num_readings': 5, 'percentage_capture': 62}}",14819,0,268346044.0,2399.0,2021-09-29 18:00:00,,,,48.7749,,,29-09-2021,18:00,15194807.0,6 months,red
16,2132,TNO2579,"Amiens Street, Dublin 1",53.352988,-6.248738,TNO2579-EPA,TNO2579-EPA,0000-00-00,19,333565476.0,"{'monitor_type_id': 19, 'name': 'Osiris', 'manufacturer': 'Turnkey', 'category': 'air', 'sample_code': 'TNO1234', 'sample_serial_number': 'TNO1234'}","{'air_reading_id': 333565476, 'monitor_id': 2132, 'project_id': 2497, 'recorded_at': '2022-03-24 12:00:00', 'pm10': 25.3, 'pm2_5': 11.87, 'no2': None, 'o3': None, 'so2': None, 'co': None, 'date': '24-03-2022', 'time': '12:00', 'secs_since': 6407, 'time_since': '1 hour', 'status': 'green'}","{'pm10': {'start': '2022-03-23 12:01:00', 'end': '2022-03-24 12:00:00', 'value': 21.01, 'num_readings': 1257, 'percentage_capture': 1309, 'rating': 2}, 'pm2_5': {'start': '2022-03-23 12:01:00', 'end': '2022-03-24 12:00:00', 'value': 11.29, 'num_readings': 1257, 'percentage_capture': 1309, 'rating': 1}}",78406,2,333565476.0,2497.0,2022-03-24 12:00:00,25.3,11.87,,,,,24-03-2022,12:00,6407.0,1 hour,green
17,1992,Station 50,"Ballyfermot, Dublin 10",53.340159,-6.351706,EPA-50,EPA-50,0000-00-00,25,333237445.0,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 333237445, 'monitor_id': 1992, 'project_id': 2399, 'recorded_at': '2022-03-23 13:30:00', 'pm10': 21.0976, 'pm2_5': 12.5628, 'no2': None, 'o3': None, 'so2': None, 'co': None, 'date': '23-03-2022', 'time': '13:30', 'secs_since': 87407, 'time_since': '1 day', 'status': 'red'}","{'pm10': {'start': '2022-03-22 13:01:00', 'end': '2022-03-23 13:00:00', 'value': 25.74, 'num_readings': 96, 'percentage_capture': 100}, 'pm2_5': {'start': '2022-03-22 13:01:00', 'end': '2022-03-23 13:00:00', 'value': 17.75, 'num_readings': 96, 'percentage_capture': 100}}",66542,0,333237445.0,2399.0,2022-03-23 13:30:00,21.0976,12.5628,,,,,23-03-2022,13:30,87407.0,1 day,red
18,2130,TNT1296,"Ballymun Library, Dublin 9",53.390433,-6.26527,TNT1296-EPA,TNT1296-EPA,0000-00-00,27,333590741.0,"{'monitor_type_id': 27, 'name': 'Topas', 'manufacturer': 'Turnkey', 'category': 'air', 'sample_code': 'TNT1234', 'sample_serial_number': 'TNT1234'}","{'air_reading_id': 333590741, 'monitor_id': 2130, 'project_id': 2497, 'recorded_at': '2022-03-24 13:30:00', 'pm10': 9.4, 'pm2_5': 6.66, 'no2': None, 'o3': None, 'so2': None, 'co': None, 'date': '24-03-2022', 'time': '13:30', 'secs_since': 1007, 'time_since': '16 mins', 'status': 'green'}","{'pm10': {'start': '2022-03-23 13:01:00', 'end': '2022-03-24 13:00:00', 'value': 11.93, 'num_readings': 95, 'percentage_capture': 98, 'rating': 1}, 'pm2_5': {'start': '2022-03-23 13:01:00', 'end': '2022-03-24 13:00:00', 'value': 8.25, 'num_readings': 95, 'percentage_capture': 98, 'rating': 1}}",255520,1,333590741.0,2497.0,2022-03-24 13:30:00,9.4,6.66,,,,,24-03-2022,13:30,1007.0,16 mins,green
19,1977,Station 29,"Blanchardstown, Dublin 15",53.38539,-6.369211,EPA-29,EPA-29,0000-00-00,25,333583873.0,"{'monitor_type_id': 25, 'name': 'Multiple', 'manufacturer': 'Multiple', 'category': 'air', 'sample_code': '', 'sample_serial_number': ''}","{'air_reading_id': 333583873, 'monitor_id': 1977, 'project_id': 2399, 'recorded_at': '2022-03-24 13:00:00', 'pm10': 32.7408, 'pm2_5': 13.9879, 'no2': 7.9602, 'o3': None, 'so2': None, 'co': None, 'date': '24-03-2022', 'time': '13:00', 'secs_since': 2807, 'time_since': '46 mins', 'status': 'green'}","{'pm10': {'start': '2022-03-23 13:01:00', 'end': '2022-03-24 13:00:00', 'value': 49.41, 'num_readings': 96, 'percentage_capture': 100, 'rating': 3}, 'pm2_5': {'start': '2022-03-23 13:01:00', 'end': '2022-03-24 13:00:00', 'value': 21.46, 'num_readings': 96, 'percentage_capture': 100, 'rating': 2}, 'no2': {'start': '2022-03-24 12:01:00', 'end': '2022-03-24 13:00:00', 'value': 6.07, 'num_readings': 4, 'percentage_capture': 100, 'rating': 1}}",66590,3,333583873.0,2399.0,2022-03-24 13:00:00,32.7408,13.9879,7.9602,,,,24-03-2022,13:00,2807.0,46 mins,green
