,Date and Time,PM10,PM2.5,SO2,Site,location,date and time,date,time,daily mean,daily max,daily max mean
9701,31/08/2021 20:00,12.74,8.3,,EPA-102,"Edenderry Library, Co. Offaly",2021-08-31 20:00:00,2021-08-31,20:00:00,7.592857142857143,8.3,95.00999999999999
9728,01/09/2021 23:00,13.84,8.35,,EPA-102,"Edenderry Library, Co. Offaly",2021-09-01 23:00:00,2021-09-01,23:00:00,6.493750000000001,8.35,95.00999999999999
9749,02/09/2021 20:00,24.54,19.28,,EPA-102,"Edenderry Library, Co. Offaly",2021-09-02 20:00:00,2021-09-02,20:00:00,11.331666666666669,19.28,95.00999999999999
9767,03/09/2021 14:00,27.85,21.63,,EPA-102,"Edenderry Library, Co. Offaly",2021-09-03 14:00:00,2021-09-03,14:00:00,13.38125,21.63,95.00999999999999
9798,04/09/2021 21:00,47.63,41.54,,EPA-102,"Edenderry Library, Co. Offaly",2021-09-04 21:00:00,2021-09-04,21:00:00,21.59958333333333,41.54,95.00999999999999
9821,05/09/2021 20:00,43.72,38.69,,EPA-102,"Edenderry Library, Co. Offaly",2021-09-05 20:00:00,2021-09-05,20:00:00,23.687083333333337,38.69,95.00999999999999
9832,06/09/2021 07:00,30.71,27.6,,EPA-102,"Edenderry Library, Co. Offaly",2021-09-06 07:00:00,2021-09-06,07:00:00,19.433750000000007,27.6,95.00999999999999
9859,07/09/2021 10:00,25.98,23.35,,EPA-102,"Edenderry Library, Co. Offaly",2021-09-07 10:00:00,2021-09-07,10:00:00,14.46583333333333,23.35,95.00999999999999
9891,08/09/2021 18:00,37.21,32.74,,EPA-102,"Edenderry Library, Co. Offaly",2021-09-08 18:00:00,2021-09-08,18:00:00,21.995,32.74,95.00999999999999
9897,09/09/2021 00:00,21.78,18.01,,EPA-102,"Edenderry Library, Co. Offaly",2021-09-09 00:00:00,2021-09-09,00:00:00,8.991666666666667,18.01,95.00999999999999
9924,10/09/2021 03:00,15.83,13.88,,EPA-102,"Edenderry Library, Co. Offaly",2021-09-10 03:00:00,2021-09-10,03:00:00,7.276250000000002,13.88,95.00999999999999
9945,11/09/2021 00:00,6.99,4.31,,EPA-102,"Edenderry Library, Co. Offaly",2021-09-11 00:00:00,2021-09-11,00:00:00,2.580833333333333,4.31,95.00999999999999
9989,12/09/2021 20:00,17.13,14.67,,EPA-102,"Edenderry Library, Co. Offaly",2021-09-12 20:00:00,2021-09-12,20:00:00,4.587916666666666,14.67,95.00999999999999
10014,13/09/2021 21:00,42.05,39.39,,EPA-102,"Edenderry Library, Co. Offaly",2021-09-13 21:00:00,2021-09-13,21:00:00,10.891666666666666,39.39,95.00999999999999
10039,14/09/2021 22:00,30.31,25.57,,EPA-102,"Edenderry Library, Co. Offaly",2021-09-14 22:00:00,2021-09-14,22:00:00,11.782916666666665,25.57,95.00999999999999
10043,15/09/2021 02:00,22.55,19.16,,EPA-102,"Edenderry Library, Co. Offaly",2021-09-15 02:00:00,2021-09-15,02:00:00,7.944999999999998,19.16,95.00999999999999
10072,16/09/2021 07:00,34.32,30.7,,EPA-102,"Edenderry Library, Co. Offaly",2021-09-16 07:00:00,2021-09-16,07:00:00,12.449583333333331,30.7,95.00999999999999
10099,17/09/2021 10:00,19.99,15.59,,EPA-102,"Edenderry Library, Co. Offaly",2021-09-17 10:00:00,2021-09-17,10:00:00,6.207916666666667,15.59,95.00999999999999
10136,18/09/2021 23:00,20.97,18.26,1.83,EPA-102,"Edenderry Library, Co. Offaly",2021-09-18 23:00:00,2021-09-18,23:00:00,7.659166666666668,18.26,95.00999999999999
10137,19/09/2021 00:00,12.93,11.44,1.61,EPA-102,"Edenderry Library, Co. Offaly",2021-09-19 00:00:00,2021-09-19,00:00:00,4.969166666666666,11.44,95.00999999999999
10162,20/09/2021 01:00,21.47,17.1,0.97,EPA-102,"Edenderry Library, Co. Offaly",2021-09-20 01:00:00,2021-09-20,01:00:00,7.620833333333333,17.1,95.00999999999999
10196,21/09/2021 11:00,22.23,19.36,2.26,EPA-102,"Edenderry Library, Co. Offaly",2021-09-21 11:00:00,2021-09-21,11:00:00,9.275833333333333,19.36,95.00999999999999
10219,22/09/2021 10:00,9.96,5.16,1.26,EPA-102,"Edenderry Library, Co. Offaly",2021-09-22 10:00:00,2021-09-22,10:00:00,3.629583333333333,5.16,95.00999999999999
10254,23/09/2021 21:00,20.2,13.96,1.58,EPA-102,"Edenderry Library, Co. Offaly",2021-09-23 21:00:00,2021-09-23,21:00:00,5.316666666666667,13.96,95.00999999999999
10258,24/09/2021 01:00,11.56,7.89,1.38,EPA-102,"Edenderry Library, Co. Offaly",2021-09-24 01:00:00,2021-09-24,01:00:00,3.0820833333333337,7.89,95.00999999999999
10301,25/09/2021 20:00,21.39,18.62,2.4,EPA-102,"Edenderry Library, Co. Offaly",2021-09-25 20:00:00,2021-09-25,20:00:00,7.407083333333333,18.62,95.00999999999999
10327,26/09/2021 22:00,12.19,8.24,1.9,EPA-102,"Edenderry Library, Co. Offaly",2021-09-26 22:00:00,2021-09-26,22:00:00,5.029583333333334,8.24,95.00999999999999
10349,27/09/2021 20:00,36.46,34.89,1.95,EPA-102,"Edenderry Library, Co. Offaly",2021-09-27 20:00:00,2021-09-27,20:00:00,7.936250000000001,34.89,95.00999999999999
10362,28/09/2021 09:00,16.51,13.28,2.07,EPA-102,"Edenderry Library, Co. Offaly",2021-09-28 09:00:00,2021-09-28,09:00:00,6.48125,13.28,95.00999999999999
10397,29/09/2021 20:00,52.41,44.77,3.09,EPA-102,"Edenderry Library, Co. Offaly",2021-09-29 20:00:00,2021-09-29,20:00:00,8.281666666666666,44.77,95.00999999999999
10420,30/09/2021 19:00,33.28,30.76,3.17,EPA-102,"Edenderry Library, Co. Offaly",2021-09-30 19:00:00,2021-09-30,19:00:00,7.025833333333334,30.76,95.00999999999999
10447,01/10/2021 22:00,14.33,12.0,2.2,EPA-102,"Edenderry Library, Co. Offaly",2021-10-01 22:00:00,2021-10-01,22:00:00,6.027272727272727,12.0,95.00999999999999
10471,02/10/2021 22:00,29.11,25.38,2.75,EPA-102,"Edenderry Library, Co. Offaly",2021-10-02 22:00:00,2021-10-02,22:00:00,7.232916666666665,25.38,95.00999999999999
10494,03/10/2021 21:00,11.44,8.67,2.05,EPA-102,"Edenderry Library, Co. Offaly",2021-10-03 21:00:00,2021-10-03,21:00:00,4.824583333333334,8.67,95.00999999999999
10515,04/10/2021 18:00,89.59,87.46,5.02,EPA-102,"Edenderry Library, Co. Offaly",2021-10-04 18:00:00,2021-10-04,18:00:00,13.635833333333332,87.46,95.00999999999999
10542,05/10/2021 21:00,12.58,8.9,2.26,EPA-102,"Edenderry Library, Co. Offaly",2021-10-05 21:00:00,2021-10-05,21:00:00,3.5429166666666667,8.9,95.00999999999999
10554,06/10/2021 09:00,38.0,34.62,2.46,EPA-102,"Edenderry Library, Co. Offaly",2021-10-06 09:00:00,2021-10-06,09:00:00,14.740833333333333,34.62,95.00999999999999
10583,07/10/2021 14:00,34.23,18.98,3.93,EPA-102,"Edenderry Library, Co. Offaly",2021-10-07 14:00:00,2021-10-07,14:00:00,8.84875,18.98,95.00999999999999
10612,08/10/2021 19:00,37.81,32.95,4.12,EPA-102,"Edenderry Library, Co. Offaly",2021-10-08 19:00:00,2021-10-08,19:00:00,10.429166666666665,32.95,95.00999999999999
10629,09/10/2021 12:00,28.26,26.57,3.59,EPA-102,"Edenderry Library, Co. Offaly",2021-10-09 12:00:00,2021-10-09,12:00:00,8.125416666666665,26.57,95.00999999999999
10662,10/10/2021 21:00,17.55,12.16,3.01,EPA-102,"Edenderry Library, Co. Offaly",2021-10-10 21:00:00,2021-10-10,21:00:00,6.264583333333333,12.16,95.00999999999999
10686,11/10/2021 21:00,44.34,39.31,4.91,EPA-102,"Edenderry Library, Co. Offaly",2021-10-11 21:00:00,2021-10-11,21:00:00,13.825416666666667,39.31,95.00999999999999
10711,12/10/2021 22:00,18.51,16.07,5.06,EPA-102,"Edenderry Library, Co. Offaly",2021-10-12 22:00:00,2021-10-12,22:00:00,6.891666666666666,16.07,95.00999999999999
10735,13/10/2021 22:00,35.56,32.57,5.87,EPA-102,"Edenderry Library, Co. Offaly",2021-10-13 22:00:00,2021-10-13,22:00:00,11.57,32.57,95.00999999999999
10756,14/10/2021 19:00,26.75,21.66,6.65,EPA-102,"Edenderry Library, Co. Offaly",2021-10-14 19:00:00,2021-10-14,19:00:00,10.751739130434784,21.66,95.00999999999999
10782,15/10/2021 20:00,37.7,34.32,7.67,EPA-102,"Edenderry Library, Co. Offaly",2021-10-15 20:00:00,2021-10-15,20:00:00,8.968333333333332,34.32,95.00999999999999
10796,16/10/2021 10:00,34.52,31.57,7.52,EPA-102,"Edenderry Library, Co. Offaly",2021-10-16 10:00:00,2021-10-16,10:00:00,15.57409090909091,31.57,95.00999999999999
10830,17/10/2021 20:00,98.55,95.12,9.78,EPA-102,"Edenderry Library, Co. Offaly",2021-10-17 20:00:00,2021-10-17,20:00:00,13.540000000000001,95.12,95.00999999999999
10853,18/10/2021 19:00,66.46,62.57,10.84,EPA-102,"Edenderry Library, Co. Offaly",2021-10-18 19:00:00,2021-10-18,19:00:00,12.17,62.57,95.00999999999999
10876,19/10/2021 18:00,21.47,14.97,13.13,EPA-102,"Edenderry Library, Co. Offaly",2021-10-19 18:00:00,2021-10-19,18:00:00,6.964166666666668,14.97,95.00999999999999
10890,20/10/2021 08:00,21.21,18.17,9.11,EPA-102,"Edenderry Library, Co. Offaly",2021-10-20 08:00:00,2021-10-20,08:00:00,8.474583333333333,18.17,95.00999999999999
10927,21/10/2021 21:00,25.72,21.97,9.08,EPA-102,"Edenderry Library, Co. Offaly",2021-10-21 21:00:00,2021-10-21,21:00:00,6.6241666666666665,21.97,95.00999999999999
10952,22/10/2021 22:00,58.67,54.78,10.99,EPA-102,"Edenderry Library, Co. Offaly",2021-10-22 22:00:00,2021-10-22,22:00:00,8.431666666666667,54.78,95.00999999999999
10954,23/10/2021 00:00,21.21,19.06,10.64,EPA-102,"Edenderry Library, Co. Offaly",2021-10-23 00:00:00,2021-10-23,00:00:00,10.214166666666666,19.06,95.00999999999999
10988,24/10/2021 10:00,28.15,24.65,14.22,EPA-102,"Edenderry Library, Co. Offaly",2021-10-24 10:00:00,2021-10-24,10:00:00,9.496666666666666,24.65,95.00999999999999
11023,25/10/2021 21:00,67.71,63.94,17.96,EPA-102,"Edenderry Library, Co. Offaly",2021-10-25 21:00:00,2021-10-25,21:00:00,12.408333333333331,63.94,95.00999999999999
11045,26/10/2021 19:00,26.92,18.14,20.76,EPA-102,"Edenderry Library, Co. Offaly",2021-10-26 19:00:00,2021-10-26,19:00:00,9.22125,18.14,95.00999999999999
11068,27/10/2021 18:00,27.17,26.01,21.1,EPA-102,"Edenderry Library, Co. Offaly",2021-10-27 18:00:00,2021-10-27,18:00:00,8.967916666666666,26.01,95.00999999999999
11095,28/10/2021 21:00,61.66,57.91,-1.74,EPA-102,"Edenderry Library, Co. Offaly",2021-10-28 21:00:00,2021-10-28,21:00:00,15.615833333333335,57.91,95.00999999999999
11117,29/10/2021 19:00,45.77,38.9,-1.72,EPA-102,"Edenderry Library, Co. Offaly",2021-10-29 19:00:00,2021-10-29,19:00:00,13.075833333333335,38.9,95.00999999999999
11143,30/10/2021 21:00,94.2,90.22,-2.01,EPA-102,"Edenderry Library, Co. Offaly",2021-10-30 21:00:00,2021-10-30,21:00:00,18.601666666666663,90.22,95.00999999999999
11157,31/10/2021 11:00,22.18,18.67,-1.97,EPA-102,"Edenderry Library, Co. Offaly",2021-10-31 11:00:00,2021-10-31,11:00:00,6.9245833333333335,18.67,95.00999999999999
11183,01/11/2021 13:00,20.38,12.84,0.11,EPA-102,"Edenderry Library, Co. Offaly",2021-11-01 13:00:00,2021-11-01,13:00:00,5.5058333333333325,12.84,95.00999999999999
11203,02/11/2021 09:00,12.66,11.27,-2.52,EPA-102,"Edenderry Library, Co. Offaly",2021-11-02 09:00:00,2021-11-02,09:00:00,6.560833333333332,11.27,95.00999999999999
11239,03/11/2021 21:00,17.61,14.74,-2.77,EPA-102,"Edenderry Library, Co. Offaly",2021-11-03 21:00:00,2021-11-03,21:00:00,5.2820833333333335,14.74,95.00999999999999
11260,04/11/2021 18:00,19.29,16.0,-2.46,EPA-102,"Edenderry Library, Co. Offaly",2021-11-04 18:00:00,2021-11-04,18:00:00,6.240416666666667,16.0,95.00999999999999
11289,05/11/2021 23:00,13.81,10.82,-2.71,EPA-102,"Edenderry Library, Co. Offaly",2021-11-05 23:00:00,2021-11-05,23:00:00,6.517499999999999,10.82,95.00999999999999
11309,06/11/2021 19:00,29.56,20.96,-2.32,EPA-102,"Edenderry Library, Co. Offaly",2021-11-06 19:00:00,2021-11-06,19:00:00,8.451666666666666,20.96,95.00999999999999
11334,07/11/2021 20:00,119.1,110.2,-1.79,EPA-102,"Edenderry Library, Co. Offaly",2021-11-07 20:00:00,2021-11-07,20:00:00,24.266666666666666,110.2,95.00999999999999
11356,08/11/2021 18:00,48.98,44.75,-0.27,EPA-102,"Edenderry Library, Co. Offaly",2021-11-08 18:00:00,2021-11-08,18:00:00,16.60375,44.75,95.00999999999999
11381,09/11/2021 19:00,92.64,84.24,-1.1,EPA-102,"Edenderry Library, Co. Offaly",2021-11-09 19:00:00,2021-11-09,19:00:00,15.234166666666667,84.24,95.00999999999999
11406,10/11/2021 20:00,157.04,148.55,-1.28,EPA-102,"Edenderry Library, Co. Offaly",2021-11-10 20:00:00,2021-11-10,20:00:00,37.48791666666666,148.55,95.00999999999999
11420,11/11/2021 10:00,71.98,68.38,-2.26,EPA-102,"Edenderry Library, Co. Offaly",2021-11-11 10:00:00,2021-11-11,10:00:00,15.77208333333333,68.38,95.00999999999999
11436,12/11/2021 02:00,24.19,15.26,-2.3,EPA-102,"Edenderry Library, Co. Offaly",2021-11-12 02:00:00,2021-11-12,02:00:00,6.1825,15.26,95.00999999999999
11477,13/11/2021 19:00,62.83,60.57,-1.6,EPA-102,"Edenderry Library, Co. Offaly",2021-11-13 19:00:00,2021-11-13,19:00:00,20.74791666666667,60.57,95.00999999999999
11499,14/11/2021 17:00,72.77,70.6,-1.56,EPA-102,"Edenderry Library, Co. Offaly",2021-11-14 17:00:00,2021-11-14,17:00:00,26.042083333333334,70.6,95.00999999999999
11525,15/11/2021 19:00,67.68,62.28,-1.69,EPA-102,"Edenderry Library, Co. Offaly",2021-11-15 19:00:00,2021-11-15,19:00:00,12.109583333333335,62.28,95.00999999999999
11544,16/11/2021 14:00,30.31,24.92,3.68,EPA-102,"Edenderry Library, Co. Offaly",2021-11-16 14:00:00,2021-11-16,14:00:00,11.880416666666667,24.92,95.00999999999999
11572,17/11/2021 18:00,20.97,14.33,1.07,EPA-102,"Edenderry Library, Co. Offaly",2021-11-17 18:00:00,2021-11-17,18:00:00,11.020000000000003,14.33,95.00999999999999
11600,18/11/2021 22:00,8.41,7.21,1.01,EPA-102,"Edenderry Library, Co. Offaly",2021-11-18 22:00:00,2021-11-18,22:00:00,3.5916666666666663,7.21,95.00999999999999
11619,19/11/2021 17:00,56.51,54.39,2.33,EPA-102,"Edenderry Library, Co. Offaly",2021-11-19 17:00:00,2021-11-19,17:00:00,13.380416666666667,54.39,95.00999999999999
11645,20/11/2021 19:00,30.58,25.12,1.81,EPA-102,"Edenderry Library, Co. Offaly",2021-11-20 19:00:00,2021-11-20,19:00:00,8.874166666666666,25.12,95.00999999999999
11668,21/11/2021 18:00,30.43,25.13,2.52,EPA-102,"Edenderry Library, Co. Offaly",2021-11-21 18:00:00,2021-11-21,18:00:00,9.352916666666667,25.13,95.00999999999999
11692,22/11/2021 18:00,47.2,42.65,2.73,EPA-102,"Edenderry Library, Co. Offaly",2021-11-22 18:00:00,2021-11-22,18:00:00,15.046666666666667,42.65,95.00999999999999
11701,23/11/2021 03:00,47.87,45.86,2.45,EPA-102,"Edenderry Library, Co. Offaly",2021-11-23 03:00:00,2021-11-23,03:00:00,22.510833333333334,45.86,95.00999999999999
11730,24/11/2021 08:00,21.7,20.3,2.73,EPA-102,"Edenderry Library, Co. Offaly",2021-11-24 08:00:00,2021-11-24,08:00:00,12.041666666666666,20.3,95.00999999999999
11764,25/11/2021 18:00,26.73,22.42,3.71,EPA-102,"Edenderry Library, Co. Offaly",2021-11-25 18:00:00,2021-11-25,18:00:00,9.519583333333335,22.42,95.00999999999999
11789,26/11/2021 19:00,14.74,10.15,4.29,EPA-102,"Edenderry Library, Co. Offaly",2021-11-26 19:00:00,2021-11-26,19:00:00,6.093333333333334,10.15,95.00999999999999
11813,27/11/2021 19:00,18.75,15.37,4.15,EPA-102,"Edenderry Library, Co. Offaly",2021-11-27 19:00:00,2021-11-27,19:00:00,7.600416666666668,15.37,95.00999999999999
11837,28/11/2021 19:00,27.86,26.92,4.2,EPA-102,"Edenderry Library, Co. Offaly",2021-11-28 19:00:00,2021-11-28,19:00:00,10.219166666666668,26.92,95.00999999999999
11843,29/11/2021 01:00,43.79,42.71,3.9,EPA-102,"Edenderry Library, Co. Offaly",2021-11-29 01:00:00,2021-11-29,01:00:00,12.230416666666668,42.71,95.00999999999999
11883,30/11/2021 17:00,30.61,28.55,6.06,EPA-102,"Edenderry Library, Co. Offaly",2021-11-30 17:00:00,2021-11-30,17:00:00,4.315,28.55,95.00999999999999
11910,01/12/2021 20:00,20.37,16.74,4.87,EPA-102,"Edenderry Library, Co. Offaly",2021-12-01 20:00:00,2021-12-01,20:00:00,6.84875,16.74,95.00999999999999
11931,02/12/2021 17:00,82.7,77.79,6.82,EPA-102,"Edenderry Library, Co. Offaly",2021-12-02 17:00:00,2021-12-02,17:00:00,18.79666666666667,77.79,95.00999999999999
11954,03/12/2021 16:00,112.3,106.66,7.09,EPA-102,"Edenderry Library, Co. Offaly",2021-12-03 16:00:00,2021-12-03,16:00:00,21.900833333333335,106.66,95.00999999999999
11982,04/12/2021 20:00,8.74,7.01,5.26,EPA-102,"Edenderry Library, Co. Offaly",2021-12-04 20:00:00,2021-12-04,20:00:00,4.2675,7.01,95.00999999999999
12005,05/12/2021 19:00,162.04,158.47,6.72,EPA-102,"Edenderry Library, Co. Offaly",2021-12-05 19:00:00,2021-12-05,19:00:00,29.761666666666667,158.47,95.00999999999999
12033,06/12/2021 23:00,22.86,19.64,6.72,EPA-102,"Edenderry Library, Co. Offaly",2021-12-06 23:00:00,2021-12-06,23:00:00,9.089166666666669,19.64,95.00999999999999
12035,07/12/2021 01:00,22.85,20.65,6.63,EPA-102,"Edenderry Library, Co. Offaly",2021-12-07 01:00:00,2021-12-07,01:00:00,8.644166666666667,20.65,95.00999999999999
12079,08/12/2021 19:00,15.76,8.95,1.03,EPA-102,"Edenderry Library, Co. Offaly",2021-12-08 19:00:00,2021-12-08,19:00:00,5.564166666666668,8.95,95.00999999999999
12097,09/12/2021 13:00,26.62,25.87,1.7,EPA-102,"Edenderry Library, Co. Offaly",2021-12-09 13:00:00,2021-12-09,13:00:00,10.217083333333333,25.87,95.00999999999999
12131,10/12/2021 23:00,36.27,30.72,1.07,EPA-102,"Edenderry Library, Co. Offaly",2021-12-10 23:00:00,2021-12-10,23:00:00,10.312916666666668,30.72,95.00999999999999
12145,11/12/2021 13:00,34.27,33.04,2.11,EPA-102,"Edenderry Library, Co. Offaly",2021-12-11 13:00:00,2021-12-11,13:00:00,14.655416666666667,33.04,95.00999999999999
12158,12/12/2021 02:00,26.95,24.45,0.59,EPA-102,"Edenderry Library, Co. Offaly",2021-12-12 02:00:00,2021-12-12,02:00:00,11.447916666666664,24.45,95.00999999999999
12199,13/12/2021 19:00,449.37,444.73,8.38,EPA-102,"Edenderry Library, Co. Offaly",2021-12-13 19:00:00,2021-12-13,19:00:00,95.00999999999999,444.73,95.00999999999999
12204,14/12/2021 00:00,82.36,81.56,1.55,EPA-102,"Edenderry Library, Co. Offaly",2021-12-14 00:00:00,2021-12-14,00:00:00,30.447499999999994,81.56,95.00999999999999
12249,15/12/2021 21:00,318.13,315.45,3.49,EPA-102,"Edenderry Library, Co. Offaly",2021-12-15 21:00:00,2021-12-15,21:00:00,61.09458333333333,315.45,95.00999999999999
12270,16/12/2021 18:00,183.66,181.07,5.44,EPA-102,"Edenderry Library, Co. Offaly",2021-12-16 18:00:00,2021-12-16,18:00:00,61.80208333333332,181.07,95.00999999999999
12291,17/12/2021 15:00,164.98,161.46,3.35,EPA-102,"Edenderry Library, Co. Offaly",2021-12-17 15:00:00,2021-12-17,15:00:00,48.644166666666656,161.46,95.00999999999999
12319,18/12/2021 19:00,123.49,121.33,1.96,EPA-102,"Edenderry Library, Co. Offaly",2021-12-18 19:00:00,2021-12-18,19:00:00,38.442083333333336,121.33,95.00999999999999
12324,19/12/2021 00:00,42.24,41.91,0.2,EPA-102,"Edenderry Library, Co. Offaly",2021-12-19 00:00:00,2021-12-19,00:00:00,21.384583333333335,41.91,95.00999999999999
12368,20/12/2021 20:00,131.2,127.25,4.81,EPA-102,"Edenderry Library, Co. Offaly",2021-12-20 20:00:00,2021-12-20,20:00:00,37.00833333333333,127.25,95.00999999999999
12388,21/12/2021 16:00,114.59,107.48,5.25,EPA-102,"Edenderry Library, Co. Offaly",2021-12-21 16:00:00,2021-12-21,16:00:00,34.78291666666667,107.48,95.00999999999999
12414,22/12/2021 18:00,66.47,64.21,3.74,EPA-102,"Edenderry Library, Co. Offaly",2021-12-22 18:00:00,2021-12-22,18:00:00,24.0525,64.21,95.00999999999999
12443,23/12/2021 23:00,64.12,61.42,1.2,EPA-102,"Edenderry Library, Co. Offaly",2021-12-23 23:00:00,2021-12-23,23:00:00,23.660416666666666,61.42,95.00999999999999
12462,24/12/2021 18:00,144.3,142.12,3.71,EPA-102,"Edenderry Library, Co. Offaly",2021-12-24 18:00:00,2021-12-24,18:00:00,46.12791666666667,142.12,95.00999999999999
12490,25/12/2021 22:00,51.52,50.42,2.54,EPA-102,"Edenderry Library, Co. Offaly",2021-12-25 22:00:00,2021-12-25,22:00:00,19.55875,50.42,95.00999999999999
12514,26/12/2021 22:00,72.64,70.84,1.39,EPA-102,"Edenderry Library, Co. Offaly",2021-12-26 22:00:00,2021-12-26,22:00:00,30.38041666666666,70.84,95.00999999999999
12517,27/12/2021 01:00,71.52,70.8,1.22,EPA-102,"Edenderry Library, Co. Offaly",2021-12-27 01:00:00,2021-12-27,01:00:00,14.478749999999998,70.8,95.00999999999999
12558,28/12/2021 18:00,197.34,193.72,3.57,EPA-102,"Edenderry Library, Co. Offaly",2021-12-28 18:00:00,2021-12-28,18:00:00,38.50291666666667,193.72,95.00999999999999
12582,29/12/2021 18:00,66.14,58.25,3.27,EPA-102,"Edenderry Library, Co. Offaly",2021-12-29 18:00:00,2021-12-29,18:00:00,16.069166666666664,58.25,95.00999999999999
12605,30/12/2021 17:00,108.76,106.31,2.47,EPA-102,"Edenderry Library, Co. Offaly",2021-12-30 17:00:00,2021-12-30,17:00:00,24.861666666666668,106.31,95.00999999999999
12630,31/12/2021 18:00,98.99,91.11,4.91,EPA-102,"Edenderry Library, Co. Offaly",2021-12-31 18:00:00,2021-12-31,18:00:00,18.30125,91.11,95.00999999999999
12656,01/01/2022 20:00,39.07,33.41,3.69,EPA-102,"Edenderry Library, Co. Offaly",2022-01-01 20:00:00,2022-01-01,20:00:00,20.744583333333335,33.41,95.00999999999999
12671,02/01/2022 11:00,30.14,26.52,1.25,EPA-102,"Edenderry Library, Co. Offaly",2022-01-02 11:00:00,2022-01-02,11:00:00,11.96,26.52,95.00999999999999
12702,03/01/2022 18:00,64.55,59.29,4.15,EPA-102,"Edenderry Library, Co. Offaly",2022-01-03 18:00:00,2022-01-03,18:00:00,13.153333333333334,59.29,95.00999999999999
12731,04/01/2022 23:00,16.06,12.88,0.34,EPA-102,"Edenderry Library, Co. Offaly",2022-01-04 23:00:00,2022-01-04,23:00:00,6.989999999999999,12.88,95.00999999999999
12752,05/01/2022 20:00,162.47,158.45,2.89,EPA-102,"Edenderry Library, Co. Offaly",2022-01-05 20:00:00,2022-01-05,20:00:00,31.714583333333326,158.45,95.00999999999999
12756,06/01/2022 00:00,72.8,69.3,0.57,EPA-102,"Edenderry Library, Co. Offaly",2022-01-06 00:00:00,2022-01-06,00:00:00,10.344166666666666,69.3,95.00999999999999
12802,07/01/2022 22:00,62.96,60.73,1.39,EPA-102,"Edenderry Library, Co. Offaly",2022-01-07 22:00:00,2022-01-07,22:00:00,15.361249999999998,60.73,95.00999999999999
12814,08/01/2022 10:00,33.09,20.04,1.09,EPA-102,"Edenderry Library, Co. Offaly",2022-01-08 10:00:00,2022-01-08,10:00:00,10.710416666666667,20.04,95.00999999999999
12847,09/01/2022 19:00,57.92,52.42,2.24,EPA-102,"Edenderry Library, Co. Offaly",2022-01-09 19:00:00,2022-01-09,19:00:00,14.489583333333334,52.42,95.00999999999999
12867,10/01/2022 15:00,35.52,32.96,4.06,EPA-102,"Edenderry Library, Co. Offaly",2022-01-10 15:00:00,2022-01-10,15:00:00,17.02416666666667,32.96,95.00999999999999
12894,11/01/2022 18:00,166.83,160.25,4.07,EPA-102,"Edenderry Library, Co. Offaly",2022-01-11 18:00:00,2022-01-11,18:00:00,34.63625,160.25,95.00999999999999
12917,12/01/2022 17:00,151.08,147.11,2.93,EPA-102,"Edenderry Library, Co. Offaly",2022-01-12 17:00:00,2022-01-12,17:00:00,54.460416666666674,147.11,95.00999999999999
12944,13/01/2022 20:00,206.37,202.79,2.34,EPA-102,"Edenderry Library, Co. Offaly",2022-01-13 20:00:00,2022-01-13,20:00:00,63.020416666666655,202.79,95.00999999999999
12968,14/01/2022 20:00,131.69,125.52,3.49,EPA-102,"Edenderry Library, Co. Offaly",2022-01-14 20:00:00,2022-01-14,20:00:00,46.212916666666665,125.52,95.00999999999999
12993,15/01/2022 21:00,135.72,132.43,2.89,EPA-102,"Edenderry Library, Co. Offaly",2022-01-15 21:00:00,2022-01-15,21:00:00,58.67541666666667,132.43,95.00999999999999
13018,16/01/2022 22:00,108.2,102.73,1.64,EPA-102,"Edenderry Library, Co. Offaly",2022-01-16 22:00:00,2022-01-16,22:00:00,26.435416666666665,102.73,95.00999999999999
13030,17/01/2022 10:00,144.89,139.13,1.58,EPA-102,"Edenderry Library, Co. Offaly",2022-01-17 10:00:00,2022-01-17,10:00:00,59.97833333333333,139.13,95.00999999999999
13062,18/01/2022 18:00,51.25,48.29,2.3,EPA-102,"Edenderry Library, Co. Offaly",2022-01-18 18:00:00,2022-01-18,18:00:00,23.819999999999997,48.29,95.00999999999999
13069,19/01/2022 01:00,23.11,18.8,0.72,EPA-102,"Edenderry Library, Co. Offaly",2022-01-19 01:00:00,2022-01-19,01:00:00,9.07625,18.8,95.00999999999999
13111,20/01/2022 19:00,47.99,34.37,0.55,EPA-102,"Edenderry Library, Co. Offaly",2022-01-20 19:00:00,2022-01-20,19:00:00,13.361666666666666,34.37,95.00999999999999
13137,21/01/2022 21:00,56.29,51.83,0.7,EPA-102,"Edenderry Library, Co. Offaly",2022-01-21 21:00:00,2022-01-21,21:00:00,19.350833333333334,51.83,95.00999999999999
13158,22/01/2022 18:00,28.15,26.66,0.3,EPA-102,"Edenderry Library, Co. Offaly",2022-01-22 18:00:00,2022-01-22,18:00:00,15.692916666666667,26.66,95.00999999999999
13182,23/01/2022 18:00,118.93,110.52,2.95,EPA-102,"Edenderry Library, Co. Offaly",2022-01-23 18:00:00,2022-01-23,18:00:00,33.83416666666667,110.52,95.00999999999999
13206,24/01/2022 18:00,251.79,233.63,4.21,EPA-102,"Edenderry Library, Co. Offaly",2022-01-24 18:00:00,2022-01-24,18:00:00,50.66499999999999,233.63,95.00999999999999
